# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d02-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d02-x01-y01
XLabel=LHA
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\mathrm{d}\sigma}{\mathrm{d~LHA}}$
DrawOnly=/ATLAS_2019_I1724098/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d02-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	3.091480e+00	3.935395e-01	3.862497e-01
1.000000e-01	1.800000e-01	2.285671e+00	3.256651e-01	2.821329e-01
1.800000e-01	2.400000e-01	1.658442e+00	2.262020e-01	1.985033e-01
2.400000e-01	3.000000e-01	1.484013e+00	1.402021e-01	1.447433e-01
3.000000e-01	3.600000e-01	1.315535e+00	8.791024e-02	9.869502e-02
3.600000e-01	4.200000e-01	1.170256e+00	5.034090e-02	1.245689e-01
4.200000e-01	4.800000e-01	9.420559e-01	3.060270e-02	1.167110e-01
4.800000e-01	5.200000e-01	7.430588e-01	2.322753e-02	1.006375e-01
5.200000e-01	5.800000e-01	5.901700e-01	1.950527e-02	9.242638e-02
5.800000e-01	6.400000e-01	4.016736e-01	2.052385e-02	5.819603e-02
6.400000e-01	7.000000e-01	2.579732e-01	1.205514e-02	5.346229e-02
7.000000e-01	7.600000e-01	1.198053e-01	7.388861e-03	3.348366e-02
7.600000e-01	8.600000e-01	1.872472e-02	2.561780e-03	4.898936e-03
8.600000e-01	1.000000e+00	5.821203e-05	2.329294e-05	4.990472e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d02-x01-y01
ScaledBy=7.36595400079581622e-09
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	1.000000e+01	1.000000e+01	1.000000e+01
1.000000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

