# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d03-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d03-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d03-x01-y01
XLabel=$C_2$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\mathrm{d}\sigma}{\mathrm{d} C_2}$
DrawOnly=/ATLAS_2019_I1724098/d03-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d03-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.340000e-02	2.415950e+01	2.981013e+00	2.919201e+00
1.340000e-02	5.360000e-02	6.122144e+00	8.008705e-01	7.257506e-01
5.360000e-02	1.072000e-01	3.053115e+00	3.052157e-01	2.952423e-01
1.072000e-01	2.144000e-01	1.634569e+00	7.918486e-02	1.474323e-01
2.144000e-01	3.484000e-01	6.145952e-01	5.293238e-02	1.358206e-01
3.484000e-01	4.288000e-01	1.029831e-01	2.149756e-02	4.133218e-02
4.288000e-01	4.958000e-01	9.403444e-03	3.688480e-03	8.178469e-03
4.958000e-01	5.092000e-01	7.791594e-04	4.594833e-04	2.025041e-03
5.092000e-01	5.628000e-01	6.710078e-05	2.972412e-05	2.796478e-04
5.628000e-01	6.700000e-01	6.946876e-08	1.108001e-07	1.695887e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d03-x01-y01
ScaledBy=7.36595400079581622e-09
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.340000e-02	7.462687e+01	7.462687e+01	7.462687e+01
1.340000e-02	5.360000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.360000e-02	1.072000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.072000e-01	2.144000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.144000e-01	3.484000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.484000e-01	4.288000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.288000e-01	4.958000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.958000e-01	5.092000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.092000e-01	5.628000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.628000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

