# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, trimmed
RatioPlotReference=/ATLAS_2019_I1724098/d05-x01-y01
RatioPlot=1
LogY=1
LegendOnly=/ATLAS_2019_I1724098/d05-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d05-x01-y01
XLabel=ECF2$^\mathrm{norm}$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\mathrm{d}\sigma}{\mathrm{d~ECF2}^\mathrm{norm}}$
DrawOnly=/ATLAS_2019_I1724098/d05-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d05-x01-y01
Legend=1
LeftMargin=2.0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	7.000000e-03	4.345398e+01	5.325675e+00	5.675366e+00
7.000000e-03	2.800000e-02	1.085841e+01	1.446493e+00	1.324270e+00
2.800000e-02	4.900000e-02	4.994649e+00	6.812473e-01	5.655760e-01
4.900000e-02	7.000000e-02	3.660001e+00	3.096616e-01	3.121800e-01
7.000000e-02	9.800000e-02	2.795700e+00	1.659073e-01	1.919729e-01
9.800000e-02	1.330000e-01	2.107239e+00	8.229567e-02	2.115375e-01
1.330000e-01	1.750000e-01	1.460661e+00	4.688252e-02	1.986798e-01
1.750000e-01	2.240000e-01	8.917542e-01	4.411391e-02	1.490288e-01
2.240000e-01	2.730000e-01	4.543564e-01	3.892338e-02	9.018540e-02
2.730000e-01	3.150000e-01	1.375180e-01	1.766284e-02	4.419987e-02
3.150000e-01	3.500000e-01	2.662972e-02	4.541774e-03	1.621495e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d05-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1724098/d05-x01-y01
ScaledBy=7.36595400079581622e-09
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	7.000000e-03	1.428571e+02	1.428571e+02	1.428571e+02
7.000000e-03	2.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-02	4.900000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	9.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-02	1.330000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.330000e-01	1.750000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e-01	2.240000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.240000e-01	2.730000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.730000e-01	3.150000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

