# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d01-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{jet}}$ [GeV]
RatioPlotReference=/ATLAS_2019_I1740909/d01-x01-y01
YLabel=$<N_{\textrm{ch}}>$
DrawOnly=/ATLAS_2019_I1740909/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d01-x01-y01
RatioPlot=1
Title=Forward jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.059460e+01	4.863176e-01	4.835359e-01
2.000000e+02	3.000000e+02	1.330040e+01	4.619086e-01	4.606705e-01
3.000000e+02	4.000000e+02	1.477990e+01	3.859653e-01	3.860560e-01
4.000000e+02	5.000000e+02	1.587330e+01	3.525555e-01	3.530788e-01
5.000000e+02	6.000000e+02	1.666630e+01	3.688853e-01	3.691527e-01
6.000000e+02	7.000000e+02	1.735060e+01	4.311833e-01	4.308833e-01
7.000000e+02	8.000000e+02	1.797470e+01	4.843217e-01	4.836170e-01
8.000000e+02	9.000000e+02	1.848970e+01	4.740369e-01	4.731358e-01
9.000000e+02	1.000000e+03	1.899030e+01	4.226162e-01	4.216389e-01
1.000000e+03	1.200000e+03	1.955470e+01	3.825635e-01	3.816280e-01
1.200000e+03	1.400000e+03	2.022980e+01	3.684091e-01	3.676036e-01
1.400000e+03	1.600000e+03	2.097780e+01	3.757048e-01	3.749469e-01
1.600000e+03	2.000000e+03	2.157130e+01	3.977437e-01	3.966810e-01
2.000000e+03	2.500000e+03	2.269600e+01	4.753410e-01	4.744673e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d01-x01-y01
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+02	2.000000e+02	1.220395e+01	3.608523e-01	3.608523e-01
2.000000e+02	3.000000e+02	1.583334e+01	1.720779e+00	1.720779e+00
3.000000e+02	4.000000e+02	1.650000e+01	1.050000e+01	1.050000e+01
4.000000e+02	5.000000e+02	nan	nan	nan
5.000000e+02	6.000000e+02	nan	nan	nan
6.000000e+02	7.000000e+02	nan	nan	nan
7.000000e+02	8.000000e+02	nan	nan	nan
8.000000e+02	9.000000e+02	nan	nan	nan
9.000000e+02	1.000000e+03	nan	nan	nan
1.000000e+03	1.200000e+03	nan	nan	nan
1.200000e+03	1.400000e+03	nan	nan	nan
1.400000e+03	1.600000e+03	nan	nan	nan
1.600000e+03	2.000000e+03	nan	nan	nan
2.000000e+03	2.500000e+03	nan	nan	nan
# END HISTO1D

