# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d103-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d103-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d103-x01-y01
Title=Forward jets, $700 < p_{\textrm{T}}^{\textrm{jet}} < 800$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d103-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d103-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d103-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d103-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.510930e-04	6.766390e-04	2.825360e-02	9.119515e-04	9.765226e-04
6.766390e-04	1.014960e-03	6.976950e-01	2.345634e-02	2.431833e-02
1.014960e-03	1.522440e-03	9.542390e-01	2.408486e-02	2.558992e-02
1.522440e-03	2.283660e-03	1.202870e+00	1.283386e-02	1.694714e-02
2.283660e-03	3.425490e-03	1.436130e+00	1.552315e-02	2.058225e-02
3.425490e-03	5.138230e-03	1.629310e+00	1.633478e-02	2.237943e-02
5.138230e-03	7.707350e-03	1.759920e+00	2.083646e-02	2.661669e-02
7.707350e-03	1.156100e-02	1.813680e+00	2.986709e-02	3.353986e-02
1.156100e-02	1.734150e-02	1.770810e+00	3.027606e-02	3.332377e-02
1.734150e-02	2.601230e-02	1.637560e+00	2.473144e-02	2.786458e-02
2.601230e-02	3.901840e-02	1.438610e+00	1.791427e-02	2.110748e-02
3.901840e-02	5.852770e-02	1.199380e+00	1.682367e-02	1.898180e-02
5.852770e-02	8.779150e-02	9.457920e-01	1.298858e-02	1.488161e-02
8.779145e-02	1.316869e-01	6.944300e-01	9.240774e-03	1.126271e-02
1.316870e-01	1.975310e-01	4.692880e-01	6.985556e-03	8.512808e-03
1.975310e-01	2.962960e-01	2.793270e-01	4.888722e-03	6.160006e-03
2.962960e-01	4.444440e-01	1.398700e-01	3.196357e-03	3.859118e-03
4.444440e-01	6.666670e-01	5.366530e-02	1.757297e-03	2.005385e-03
6.666670e-01	1.000000e+00	9.288650e-03	4.065324e-04	4.441970e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d103-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d103-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

