# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d126-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d126-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d126-x01-y01
Title=Central jets, $200 < p_{\textrm{T}}^{\textrm{jet}} < 300$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d126-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d126-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d126-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d126-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	1.571920e-02	1.120031e-03	1.112288e-03
3.500000e+00	7.500000e+00	1.248990e-01	6.285523e-03	6.287572e-03
7.500000e+00	1.150000e+01	2.545920e-01	1.006399e-02	1.005945e-02
1.150000e+01	1.550000e+01	2.703760e-01	7.196775e-03	7.198409e-03
1.550000e+01	1.950000e+01	1.906710e-01	1.332270e-02	1.335202e-02
1.950000e+01	2.350000e+01	9.522690e-02	9.994720e-03	1.005918e-02
2.350000e+01	2.750000e+01	3.603870e-02	3.135033e-03	3.224443e-03
2.750000e+01	3.150000e+01	1.119320e-02	1.660681e-03	1.698949e-03
3.150000e+01	3.550000e+01	2.951550e-03	1.018031e-03	1.027601e-03
3.550000e+01	3.950000e+01	7.328040e-04	3.526030e-04	3.553717e-04
3.950000e+01	4.350000e+01	2.349730e-04	8.459289e-05	8.586780e-05
4.350000e+01	4.750000e+01	9.232140e-05	2.873234e-05	2.900489e-05
4.750000e+01	5.150000e+01	4.409610e-05	1.444218e-05	1.446120e-05
5.150000e+01	5.550000e+01	3.103930e-05	6.742074e-06	6.759803e-06
5.550000e+01	5.950000e+01	2.187240e-05	3.043174e-06	3.064732e-06
5.950000e+01	6.350000e+01	3.103190e-05	3.240420e-06	3.327481e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d126-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d126-x01-y01
ScaledBy=2.45531800026527180e-09
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	1.150000e+01	3.333333e-01	3.333334e-01	3.333334e-01
1.150000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.350000e+01	6.666667e-01	4.714046e-01	4.714046e-01
2.350000e+01	2.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+01	3.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

