# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d163-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d163-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d163-x01-y01
Title=Central jets, $1200 < p_{\textrm{T}}^{\textrm{jet}} < 1400$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d163-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d163-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d163-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d163-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	2.204970e-01	8.288825e-03	8.728931e-03
4.510930e-04	6.766390e-04	7.746780e-01	2.520050e-02	2.641626e-02
6.766390e-04	1.014960e-03	1.038500e+00	2.135905e-02	2.396730e-02
1.014960e-03	1.522440e-03	1.310760e+00	1.644345e-02	2.197670e-02
1.522440e-03	2.283660e-03	1.568230e+00	2.177051e-02	2.804294e-02
2.283660e-03	3.425490e-03	1.785050e+00	2.387677e-02	3.152466e-02
3.425490e-03	5.138230e-03	1.937700e+00	3.142580e-02	3.790205e-02
5.138230e-03	7.707350e-03	1.995440e+00	3.654524e-02	4.205860e-02
7.707350e-03	1.156100e-02	1.978210e+00	3.935416e-02	4.436315e-02
1.156100e-02	1.734150e-02	1.871420e+00	3.418805e-02	3.892270e-02
1.734150e-02	2.601230e-02	1.661890e+00	2.215228e-02	2.746343e-02
2.601230e-02	3.901840e-02	1.435860e+00	1.886245e-02	2.311274e-02
3.901840e-02	5.852770e-02	1.176820e+00	1.556677e-02	1.850122e-02
5.852770e-02	8.779150e-02	9.106680e-01	1.248493e-02	1.454309e-02
8.779145e-02	1.316869e-01	6.629030e-01	1.003686e-02	1.187493e-02
1.316870e-01	1.975310e-01	4.417490e-01	7.508698e-03	8.793337e-03
1.975310e-01	2.962960e-01	2.609650e-01	5.141223e-03	5.995577e-03
2.962960e-01	4.444440e-01	1.316350e-01	3.097374e-03	3.613659e-03
4.444440e-01	6.666670e-01	4.908160e-02	1.413647e-03	1.626696e-03
6.666670e-01	1.000000e+00	8.192720e-03	3.004518e-04	3.374237e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d163-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d163-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
3.007290e-04	4.510930e-04	0.000000e+00	0.000000e+00	0.000000e+00
4.510930e-04	6.766390e-04	0.000000e+00	0.000000e+00	0.000000e+00
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

