# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d168-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d168-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$
RatioPlotReference=/ATLAS_2019_I1740909/d168-x01-y01
Title=Central jets, $200 < p_{\textrm{T}}^{\textrm{jet}} < 300$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d168-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d168-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d168-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d168-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.344730e+00	1.180442e-01	1.196683e-01
1.500000e-01	3.000000e-01	1.621400e+00	3.960582e-02	4.202980e-02
3.000000e-01	4.500000e-01	9.362500e-01	8.826788e-03	1.192489e-02
4.500000e-01	6.000000e-01	5.650440e-01	7.235254e-03	8.723820e-03
6.000000e-01	7.500000e-01	3.626380e-01	5.226776e-03	5.945877e-03
7.500000e-01	9.000000e-01	2.424690e-01	2.552447e-03	3.215044e-03
9.000000e-01	1.050000e+00	1.691980e-01	2.533287e-03	2.868862e-03
1.050000e+00	1.200000e+00	1.219750e-01	2.682282e-03	2.861668e-03
1.200000e+00	1.350000e+00	9.215580e-02	2.479406e-03	2.644469e-03
1.350000e+00	1.500000e+00	7.063890e-02	2.025492e-03	2.161742e-03
1.500000e+00	1.650000e+00	5.476090e-02	1.573806e-03	1.678135e-03
1.650000e+00	1.800000e+00	4.359650e-02	1.218524e-03	1.326517e-03
1.800000e+00	1.950000e+00	3.465290e-02	9.156599e-04	1.016730e-03
1.950000e+00	2.100000e+00	2.867530e-02	7.151444e-04	7.866813e-04
2.100000e+00	2.250000e+00	2.306190e-02	5.967976e-04	6.496703e-04
2.250000e+00	2.400000e+00	1.944270e-02	5.522837e-04	6.031754e-04
2.400000e+00	2.550000e+00	1.601200e-02	5.174914e-04	5.623132e-04
2.550000e+00	2.700000e+00	1.339600e-02	4.304489e-04	4.736507e-04
2.700000e+00	2.850000e+00	1.110210e-02	3.521536e-04	3.910527e-04
2.850000e+00	3.000000e+00	9.365650e-03	3.627674e-04	3.910447e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d168-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d168-x01-y01
ScaledBy=2.45531800026527180e-09
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	4.000000e+00	1.154701e+00	1.154701e+00
1.500000e-01	3.000000e-01	3.000000e+00	1.000000e+00	1.000000e+00
3.000000e-01	4.500000e-01	6.666667e-01	4.714045e-01	4.714045e-01
4.500000e-01	6.000000e-01	6.666667e-01	4.714045e-01	4.714045e-01
6.000000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	9.000000e-01	6.666667e-01	4.714045e-01	4.714045e-01
9.000000e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

