# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d174-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d174-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d174-x01-y01
Title=Central jets, $800 < p_{\textrm{T}}^{\textrm{jet}} < 900$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d174-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d174-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d174-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d174-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	2.827240e+00	3.394957e-02	4.383547e-02
1.500000e-01	3.000000e-01	2.000160e+00	1.979393e-02	2.802765e-02
3.000000e-01	4.500000e-01	1.246000e+00	1.294329e-02	1.775027e-02
4.500000e-01	6.000000e-01	8.156600e-01	1.027670e-02	1.307371e-02
6.000000e-01	7.500000e-01	5.642630e-01	8.501855e-03	1.011619e-02
7.500000e-01	9.000000e-01	4.087850e-01	6.333139e-03	7.380286e-03
9.000000e-01	1.050000e+00	3.079350e-01	4.498357e-03	5.251628e-03
1.050000e+00	1.200000e+00	2.391070e-01	3.369922e-03	4.033682e-03
1.200000e+00	1.350000e+00	1.908250e-01	2.908165e-03	3.368492e-03
1.350000e+00	1.500000e+00	1.564200e-01	2.652944e-03	2.998323e-03
1.500000e+00	1.650000e+00	1.286720e-01	2.333235e-03	2.539740e-03
1.650000e+00	1.800000e+00	1.080330e-01	2.015735e-03	2.217632e-03
1.800000e+00	1.950000e+00	9.165420e-02	1.780351e-03	1.927881e-03
1.950000e+00	2.100000e+00	7.936910e-02	1.655039e-03	1.794209e-03
2.100000e+00	2.250000e+00	6.810540e-02	1.570236e-03	1.684984e-03
2.250000e+00	2.400000e+00	5.944500e-02	1.517701e-03	1.602172e-03
2.400000e+00	2.550000e+00	5.160600e-02	1.433065e-03	1.497830e-03
2.550000e+00	2.700000e+00	4.546530e-02	1.262602e-03	1.324047e-03
2.700000e+00	2.850000e+00	3.996810e-02	1.040352e-03	1.085180e-03
2.850000e+00	3.000000e+00	3.575710e-02	9.374637e-04	9.670981e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d174-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d174-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

