# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d26-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d26-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d26-x01-y01
Title=Inclusive jets, $2000 < p_{\textrm{T}}^{\textrm{jet}} < 2500$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d26-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d26-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d26-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d26-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	5.555350e-03	1.145440e-03	1.154705e-03
3.500000e+00	7.500000e+00	5.252120e-02	6.495762e-03	6.508014e-03
7.500000e+00	1.150000e+01	2.202380e-01	1.336097e-02	1.352636e-02
1.150000e+01	1.550000e+01	3.271930e-01	2.462823e-02	2.477684e-02
1.550000e+01	1.950000e+01	3.207890e-01	2.308790e-02	2.310688e-02
1.950000e+01	2.350000e+01	2.793420e-01	1.601944e-02	1.601580e-02
2.350000e+01	2.750000e+01	2.208380e-01	1.188902e-02	1.188250e-02
2.750000e+01	3.150000e+01	1.654750e-01	1.020539e-02	1.014354e-02
3.150000e+01	3.550000e+01	1.257190e-01	1.032828e-02	1.028958e-02
3.550000e+01	3.950000e+01	9.109240e-02	8.615292e-03	8.606581e-03
3.950000e+01	4.350000e+01	6.400290e-02	6.359962e-03	6.358328e-03
4.350000e+01	4.750000e+01	4.689470e-02	4.610722e-03	4.596163e-03
4.750000e+01	5.150000e+01	3.011860e-02	2.942167e-03	2.937806e-03
5.150000e+01	5.550000e+01	1.746080e-02	2.056847e-03	2.059517e-03
5.550000e+01	5.950000e+01	1.041140e-02	1.611031e-03	1.611212e-03
5.950000e+01	6.350000e+01	1.356530e-02	3.022243e-03	2.986568e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d26-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d26-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+01	3.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

