# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d44-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d44-x01-y01
XLabel=$\zeta$ 
RatioPlotReference=/ATLAS_2019_I1740909/d44-x01-y01
Title=Inclusive jets, $400 < p_{\textrm{T}}^{\textrm{jet}} < 500$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d44-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d44-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogX=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d44-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d44-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.766390e-04	1.014960e-03	9.147100e-04	3.287216e-05	3.425499e-05
1.014960e-03	1.522440e-03	1.037100e+00	4.225981e-02	4.339219e-02
1.522440e-03	2.283660e-03	1.867820e+00	6.564157e-02	6.775260e-02
2.283660e-03	3.425490e-03	2.383600e+00	4.277685e-02	4.781528e-02
3.425490e-03	5.138230e-03	2.859850e+00	1.556547e-02	3.052016e-02
5.138230e-03	7.707350e-03	3.230090e+00	1.983707e-02	3.721845e-02
7.707350e-03	1.156100e-02	3.457860e+00	3.515560e-02	4.800829e-02
1.156100e-02	1.734150e-02	3.510910e+00	5.420784e-02	6.280285e-02
1.734150e-02	2.601230e-02	3.364370e+00	5.459703e-02	6.207326e-02
2.601230e-02	3.901840e-02	3.035410e+00	4.316846e-02	4.960722e-02
3.901840e-02	5.852770e-02	2.568860e+00	2.020466e-02	2.851830e-02
5.852770e-02	8.779150e-02	2.032050e+00	1.175227e-02	1.969068e-02
8.779145e-02	1.316869e-01	1.476580e+00	8.856777e-03	1.669641e-02
1.316870e-01	1.975310e-01	9.685490e-01	7.773160e-03	1.457303e-02
1.975310e-01	2.962960e-01	5.487370e-01	7.612765e-03	1.165994e-02
2.962960e-01	4.444440e-01	2.556600e-01	5.300138e-03	7.678209e-03
4.444440e-01	6.666670e-01	8.991770e-02	2.619338e-03	3.574612e-03
6.666670e-01	1.000000e+00	1.552500e-02	6.629250e-04	8.591150e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d44-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d44-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
6.766390e-04	1.014960e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.014960e-03	1.522440e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.522440e-03	2.283660e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.283660e-03	3.425490e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.425490e-03	5.138230e-03	0.000000e+00	0.000000e+00	0.000000e+00
5.138230e-03	7.707350e-03	0.000000e+00	0.000000e+00	0.000000e+00
7.707350e-03	1.156100e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.156100e-02	1.734150e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.734150e-02	2.601230e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.601230e-02	3.901840e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.901840e-02	5.852770e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.852770e-02	8.779150e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.779145e-02	1.316869e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.316870e-01	1.975310e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.975310e-01	2.962960e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.962960e-01	4.444440e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.444440e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

