# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d63-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d63-x01-y01
XLabel=$p_{\textrm{T}}^{\textrm{rel}}$ (positive values only)
RatioPlotReference=/ATLAS_2019_I1740909/d63-x01-y01
Title=Inclusive jets, $900 < p_{\textrm{T}}^{\textrm{jet}} < 1000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d63-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d63-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d63-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d63-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	5.587330e+00	7.405282e-02	9.127888e-02
1.500000e-01	3.000000e-01	3.966240e+00	4.363744e-02	5.732026e-02
3.000000e-01	4.500000e-01	2.475630e+00	2.805429e-02	3.668387e-02
4.500000e-01	6.000000e-01	1.624940e+00	2.117683e-02	2.620313e-02
6.000000e-01	7.500000e-01	1.122270e+00	1.796625e-02	2.061409e-02
7.500000e-01	9.000000e-01	8.151140e-01	1.411629e-02	1.569358e-02
9.000000e-01	1.050000e+00	6.160790e-01	9.783859e-03	1.106814e-02
1.050000e+00	1.200000e+00	4.814810e-01	6.754757e-03	7.913298e-03
1.200000e+00	1.350000e+00	3.852430e-01	5.269051e-03	6.253522e-03
1.350000e+00	1.500000e+00	3.138240e-01	4.732568e-03	5.504702e-03
1.500000e+00	1.650000e+00	2.616100e-01	4.693468e-03	5.288898e-03
1.650000e+00	1.800000e+00	2.195970e-01	4.520663e-03	4.949215e-03
1.800000e+00	1.950000e+00	1.875720e-01	4.091523e-03	4.435709e-03
1.950000e+00	2.100000e+00	1.611080e-01	3.651793e-03	3.920149e-03
2.100000e+00	2.250000e+00	1.396270e-01	3.366121e-03	3.577900e-03
2.250000e+00	2.400000e+00	1.225220e-01	3.210462e-03	3.402571e-03
2.400000e+00	2.550000e+00	1.074920e-01	2.989994e-03	3.155526e-03
2.550000e+00	2.700000e+00	9.477870e-02	2.653217e-03	2.801655e-03
2.700000e+00	2.850000e+00	8.466200e-02	2.367728e-03	2.503816e-03
2.850000e+00	3.000000e+00	7.502180e-02	2.260353e-03	2.372945e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d63-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d63-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

