# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d77-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d77-x01-y01
XLabel=$N_{\textrm{ch}}$ 
RatioPlotReference=/ATLAS_2019_I1740909/d77-x01-y01
Title=Forward jets, $900 < p_{\textrm{T}}^{\textrm{jet}} < 1000$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d77-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d77-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d77-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d77-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	3.779640e-03	5.133764e-04	5.151777e-04
3.500000e+00	7.500000e+00	5.388050e-02	3.985226e-03	4.008006e-03
7.500000e+00	1.150000e+01	1.648320e-01	6.046107e-03	6.109934e-03
1.150000e+01	1.550000e+01	1.985180e-01	2.934054e-03	2.980761e-03
1.550000e+01	1.950000e+01	1.714800e-01	2.566171e-03	2.573825e-03
1.950000e+01	2.350000e+01	1.356320e-01	2.803112e-03	2.803698e-03
2.350000e+01	2.750000e+01	9.998180e-02	2.888838e-03	2.878035e-03
2.750000e+01	3.150000e+01	6.914590e-02	2.829490e-03	2.781462e-03
3.150000e+01	3.550000e+01	4.474200e-02	2.645737e-03	2.600236e-03
3.550000e+01	3.950000e+01	2.650650e-02	2.242011e-03	2.234640e-03
3.950000e+01	4.350000e+01	1.499640e-02	1.679321e-03	1.674248e-03
4.350000e+01	4.750000e+01	7.893540e-03	1.102836e-03	1.097658e-03
4.750000e+01	5.150000e+01	3.934670e-03	7.153488e-04	7.112356e-04
5.150000e+01	5.550000e+01	1.834020e-03	4.157204e-04	4.118678e-04
5.550000e+01	5.950000e+01	9.295360e-04	2.335737e-04	2.305313e-04
5.950000e+01	6.350000e+01	0.000000e+00	2.356537e-04	2.341499e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d77-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d77-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+01	3.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.950000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	5.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.150000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

