# BEGIN PLOT
LegendOnly=/ATLAS_2019_I1740909/d94-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d94-x01-y01
XLabel=$r$ 
RatioPlotReference=/ATLAS_2019_I1740909/d94-x01-y01
Title=Forward jets, $1400 < p_{\textrm{T}}^{\textrm{jet}} < 1600$ [GeV]
DrawOnly=/ATLAS_2019_I1740909/d94-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d94-x01-y01
RatioPlot=1
YLabel=fraction/bin
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1740909/d94-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1740909/d94-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	7.244320e+01	1.958120e+00	2.060734e+00
2.000000e-02	4.000000e-02	1.539020e+01	3.172218e-01	3.502539e-01
4.000000e-02	6.000000e-02	6.565220e+00	1.198391e-01	1.376340e-01
6.000000e-02	8.000000e-02	3.651040e+00	6.357596e-02	7.377018e-02
8.000000e-02	1.000000e-01	2.320190e+00	3.904111e-02	4.509150e-02
1.000000e-01	1.200000e-01	1.606470e+00	2.349688e-02	2.873530e-02
1.200000e-01	1.400000e-01	1.179550e+00	1.786078e-02	2.109313e-02
1.400000e-01	1.600000e-01	8.969510e-01	1.407292e-02	1.619448e-02
1.600000e-01	1.800000e-01	6.998580e-01	1.216473e-02	1.365961e-02
1.800000e-01	2.000000e-01	5.577330e-01	9.754970e-03	1.105668e-02
2.000000e-01	2.200000e-01	4.612770e-01	7.451433e-03	8.500915e-03
2.200000e-01	2.400000e-01	3.864820e-01	6.354132e-03	7.142510e-03
2.400000e-01	2.600000e-01	3.294370e-01	5.017009e-03	5.871230e-03
2.600000e-01	2.800000e-01	2.761340e-01	4.524106e-03	5.253807e-03
2.800000e-01	3.000000e-01	2.345120e-01	4.421102e-03	5.147702e-03
3.000000e-01	3.200000e-01	2.040800e-01	3.913771e-03	4.383812e-03
3.200000e-01	3.400000e-01	1.779020e-01	3.122182e-03	3.582204e-03
3.400000e-01	3.600000e-01	1.570990e-01	2.209356e-03	2.651987e-03
3.600000e-01	3.800000e-01	1.429990e-01	2.881742e-03	3.146524e-03
3.800000e-01	4.000000e-01	1.201920e-01	3.205285e-03	3.374467e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d94-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2019_I1740909/d94-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

