# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d12-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d12-x01-y01
XLabel=$\ln (1/z)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d12-x01-y01
RatioPlot=1
Title=Vertical slice, $3.00 < \ln (R/\Delta R) < 3.33$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	7.551500e-01	7.634856e-02	7.675397e-02
9.704060e-01	1.247660e+00	6.518990e-01	6.867029e-02	6.889144e-02
1.247660e+00	1.524920e+00	6.052870e-01	6.011543e-02	6.040395e-02
1.524920e+00	1.802180e+00	5.839000e-01	6.451522e-02	6.469441e-02
1.802180e+00	2.079440e+00	5.669460e-01	7.082506e-02	7.092363e-02
2.079440e+00	2.356700e+00	5.443770e-01	6.465077e-02	6.479871e-02
2.356700e+00	2.633960e+00	5.093480e-01	6.581201e-02	6.596846e-02
2.633960e+00	2.911220e+00	4.541280e-01	6.616572e-02	6.637710e-02
2.911220e+00	3.188480e+00	3.835620e-01	5.053700e-02	5.072048e-02
3.188480e+00	3.465740e+00	3.039450e-01	4.047252e-02	4.056642e-02
3.465740e+00	3.742990e+00	2.262080e-01	3.281146e-02	3.287919e-02
3.742990e+00	4.020250e+00	1.579110e-01	2.124306e-02	2.129768e-02
4.020250e+00	4.297510e+00	1.041530e-01	1.348202e-02	1.350288e-02
4.297510e+00	4.574770e+00	6.604960e-02	6.980918e-03	7.004939e-03
4.574770e+00	4.852030e+00	4.060000e-02	3.899971e-03	3.912931e-03
4.852030e+00	5.129290e+00	2.505780e-02	2.064744e-03	2.086294e-03
5.129290e+00	5.406550e+00	1.508850e-02	1.332947e-03	1.343304e-03
5.406550e+00	5.683810e+00	9.317560e-03	1.386634e-03	1.385805e-03
5.683810e+00	5.961070e+00	5.663350e-03	6.994775e-04	6.995042e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d12-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d12-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
6.931470e-01	9.704060e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.704060e-01	1.247660e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.247660e+00	1.524920e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.524920e+00	1.802180e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.802180e+00	2.079440e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.079440e+00	2.356700e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.356700e+00	2.633960e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.633960e+00	2.911220e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.911220e+00	3.188480e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.188480e+00	3.465740e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.465740e+00	3.742990e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.742990e+00	4.020250e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.020250e+00	4.297510e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.297510e+00	4.574770e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.574770e+00	4.852030e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.852030e+00	5.129290e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.129290e+00	5.406550e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.406550e+00	5.683810e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.683810e+00	5.961070e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

