# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d18-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d18-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d18-x01-y01
XLabel=$\ln (R/\Delta R)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) d\ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d18-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d18-x01-y01
RatioPlot=1
Title=Horizontal slice, $1.25 < \ln (1/z) < 1.52$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d18-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d18-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	2.308450e-01	2.628147e-02	2.632987e-02
3.333330e-01	6.666670e-01	2.204220e-01	2.025067e-02	2.044723e-02
6.666670e-01	1.000000e+00	2.115510e-01	1.780765e-02	1.777732e-02
1.000000e+00	1.333330e+00	2.206030e-01	2.195506e-02	2.196064e-02
1.333330e+00	1.666670e+00	2.436230e-01	2.883636e-02	2.884418e-02
1.666670e+00	2.000000e+00	2.807300e-01	3.834291e-02	3.843006e-02
2.000000e+00	2.333330e+00	3.410350e-01	3.929111e-02	3.945643e-02
2.333330e+00	2.666670e+00	4.194640e-01	4.190218e-02	4.209768e-02
2.666670e+00	3.000000e+00	5.149610e-01	4.887231e-02	4.920351e-02
3.000000e+00	3.333330e+00	6.052870e-01	6.011543e-02	6.040395e-02
3.333330e+00	3.666670e+00	6.645730e-01	9.596617e-02	9.622464e-02
3.666670e+00	4.000000e+00	6.692290e-01	1.039872e-01	1.041411e-01
4.000000e+00	4.333330e+00	5.975000e-01	7.508062e-02	7.527581e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d18-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d18-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

