# BEGIN PLOT
RatioPlotReference=/ATLAS_2020_I1790256/d21-x01-y01
LegendOnly=/ATLAS_2020_I1790256/d21-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d21-x01-y01
XLabel=$\ln (R/\Delta R)$
YMax=2.0
YLabel=$\frac{1}{N_{jets}}\frac{d^{2} N_{emissions}}{d\ln (R/\Delta R) \ln (1/z)}$
DrawOnly=/ATLAS_2020_I1790256/d21-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d21-x01-y01
RatioPlot=1
Title=Horizontal slice, $2.08 < \ln (1/z) < 2.36$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1790256/d21-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1790256/d21-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	1.942240e-01	2.214298e-02	2.228302e-02
3.333330e-01	6.666670e-01	2.159040e-01	2.127596e-02	2.128349e-02
6.666670e-01	1.000000e+00	2.143430e-01	2.206452e-02	2.211909e-02
1.000000e+00	1.333330e+00	2.466540e-01	3.112714e-02	3.127917e-02
1.333330e+00	1.666670e+00	2.879140e-01	2.989374e-02	2.998146e-02
1.666670e+00	2.000000e+00	3.444840e-01	2.581438e-02	2.590578e-02
2.000000e+00	2.333330e+00	4.139180e-01	3.295979e-02	3.336306e-02
2.333330e+00	2.666670e+00	4.839790e-01	4.515135e-02	4.549720e-02
2.666670e+00	3.000000e+00	5.359410e-01	5.910120e-02	5.933909e-02
3.000000e+00	3.333330e+00	5.443770e-01	6.465077e-02	6.479871e-02
3.333330e+00	3.666670e+00	4.963970e-01	6.782480e-02	6.792837e-02
3.666670e+00	4.000000e+00	3.929950e-01	5.322951e-02	5.334433e-02
4.000000e+00	4.333330e+00	2.677890e-01	2.592588e-02	2.609683e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d21-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1790256/d21-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333330e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e-01	6.666670e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666670e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.333330e+00	1.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.666670e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.333330e+00	2.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.666670e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.333330e+00	3.666670e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.666670e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.333330e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

