# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d02-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d02-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} = 4$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.762400e-01	1.625153e-02	1.656670e-02
1.000000e-02	2.000000e-02	7.506050e-01	1.947333e-02	1.996425e-02
2.000000e-02	3.000000e-02	6.658970e-01	1.721208e-02	1.766017e-02
3.000000e-02	4.000000e-02	5.911110e-01	1.536109e-02	1.576651e-02
4.000000e-02	5.000000e-02	5.427970e-01	1.412565e-02	1.450638e-02
5.000000e-02	6.000000e-02	5.100620e-01	1.332351e-02	1.368808e-02
6.000000e-02	7.000000e-02	4.854500e-01	1.272364e-02	1.307682e-02
7.000000e-02	8.000000e-02	4.579480e-01	1.207425e-02	1.241195e-02
8.000000e-02	9.000000e-02	4.160420e-01	1.100743e-02	1.131853e-02
9.000000e-02	1.000000e-01	3.715180e-01	9.874422e-03	1.015518e-02
1.000000e-01	1.100000e-01	3.238000e-01	8.591173e-03	8.839363e-03
1.100000e-01	1.200000e-01	2.846060e-01	7.619584e-03	7.837965e-03
1.200000e-01	1.300000e-01	2.496720e-01	6.702077e-03	6.894526e-03
1.300000e-01	1.400000e-01	2.159070e-01	5.831610e-03	5.997760e-03
1.400000e-01	1.500000e-01	1.896650e-01	5.147820e-03	5.293333e-03
1.500000e-01	1.600000e-01	1.656950e-01	4.523474e-03	4.649761e-03
1.600000e-01	1.700000e-01	1.443020e-01	3.974525e-03	4.083204e-03
1.700000e-01	1.800000e-01	1.238540e-01	3.420864e-03	3.513409e-03
1.800000e-01	2.000000e-01	9.804890e-02	2.599645e-03	2.671276e-03
2.000000e-01	2.200000e-01	7.116070e-02	1.909137e-03	1.960630e-03
2.200000e-01	2.400000e-01	5.147610e-02	1.394935e-03	1.431881e-03
2.400000e-01	2.600000e-01	3.653020e-02	1.041268e-03	1.066264e-03
2.600000e-01	2.900000e-01	2.338080e-02	6.627919e-04	6.786136e-04
2.900000e-01	3.300000e-01	8.530160e-03	2.638102e-04	2.663233e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d02-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

