# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d04-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d04-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d04-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d04-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} \geq 6$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d04-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.066170e-03	1.014911e-04	1.071783e-04
1.000000e-02	2.000000e-02	4.365740e-03	2.950656e-04	3.183805e-04
2.000000e-02	3.000000e-02	7.929930e-03	5.131514e-04	5.560840e-04
3.000000e-02	4.000000e-02	9.854450e-03	6.316809e-04	6.840248e-04
4.000000e-02	5.000000e-02	1.249930e-02	7.711590e-04	8.379802e-04
5.000000e-02	6.000000e-02	1.411510e-02	8.704469e-04	9.437420e-04
6.000000e-02	7.000000e-02	1.566080e-02	9.579102e-04	1.037430e-03
7.000000e-02	8.000000e-02	1.679280e-02	1.017649e-03	1.101117e-03
8.000000e-02	9.000000e-02	1.739130e-02	1.057047e-03	1.140759e-03
9.000000e-02	1.000000e-01	1.785000e-02	1.096481e-03	1.179195e-03
1.000000e-01	1.100000e-01	1.800540e-02	1.099495e-03	1.181207e-03
1.100000e-01	1.200000e-01	1.788470e-02	1.093571e-03	1.172733e-03
1.200000e-01	1.300000e-01	1.702810e-02	1.051146e-03	1.124342e-03
1.300000e-01	1.400000e-01	1.635640e-02	1.013077e-03	1.082033e-03
1.400000e-01	1.500000e-01	1.515370e-02	9.388472e-04	1.001986e-03
1.500000e-01	1.600000e-01	1.474760e-02	9.188129e-04	9.795644e-04
1.600000e-01	1.700000e-01	1.372060e-02	8.650735e-04	9.209432e-04
1.700000e-01	1.800000e-01	1.276710e-02	8.060299e-04	8.582375e-04
1.800000e-01	2.000000e-01	1.119840e-02	6.784798e-04	7.333593e-04
2.000000e-01	2.200000e-01	9.244190e-03	5.681300e-04	6.128715e-04
2.200000e-01	2.400000e-01	7.098260e-03	4.484217e-04	4.819999e-04
2.400000e-01	2.600000e-01	5.593550e-03	3.615924e-04	3.876130e-04
2.600000e-01	2.900000e-01	3.932150e-03	2.502979e-04	2.692734e-04
2.900000e-01	3.300000e-01	1.539270e-03	1.013214e-04	1.280430e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d04-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d04-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

