# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d11-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d11-x01-y01
Title=Transverse Thrust for $n^{\mathrm{jet}} = 5$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d11-x01-y01
RatioPlot=1
LogY=1
XLabel=$\tau_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/d\tau_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.095730e-01	5.187792e-03	5.338708e-03
1.000000e-02	2.000000e-02	2.379240e-01	1.082874e-02	1.114638e-02
2.000000e-02	3.000000e-02	2.579190e-01	1.184974e-02	1.217696e-02
3.000000e-02	4.000000e-02	2.650610e-01	1.245773e-02	1.277208e-02
4.000000e-02	5.000000e-02	2.617300e-01	1.179737e-02	1.210517e-02
5.000000e-02	6.000000e-02	2.411160e-01	1.094744e-02	1.121433e-02
6.000000e-02	7.000000e-02	2.222690e-01	1.004063e-02	1.027386e-02
7.000000e-02	8.000000e-02	1.970050e-01	9.053447e-03	9.244124e-03
8.000000e-02	9.000000e-02	1.668060e-01	7.551317e-03	7.704021e-03
9.000000e-02	1.000000e-01	1.400650e-01	6.759147e-03	6.870542e-03
1.000000e-01	1.100000e-01	1.189300e-01	5.846542e-03	5.931684e-03
1.100000e-01	1.200000e-01	1.012530e-01	4.997977e-03	5.063457e-03
1.200000e-01	1.300000e-01	8.418030e-02	4.483249e-03	4.528431e-03
1.300000e-01	1.400000e-01	6.916580e-02	3.758863e-03	3.790856e-03
1.400000e-01	1.500000e-01	5.551040e-02	3.005404e-03	3.027532e-03
1.500000e-01	1.600000e-01	4.712600e-02	2.587902e-03	2.603291e-03
1.600000e-01	1.700000e-01	4.042390e-02	2.293577e-03	2.303664e-03
1.700000e-01	1.800000e-01	3.201800e-02	1.969160e-03	1.974489e-03
1.800000e-01	2.000000e-01	2.589580e-02	1.573515e-03	1.578758e-03
2.000000e-01	2.200000e-01	1.648250e-02	1.124748e-03	1.126900e-03
2.200000e-01	2.400000e-01	1.198250e-02	8.816129e-04	8.825015e-04
2.400000e-01	2.600000e-01	7.077790e-03	6.348621e-04	6.350163e-04
2.600000e-01	2.900000e-01	3.771860e-03	4.083745e-04	4.086544e-04
2.900000e-01	3.300000e-01	1.328620e-03	2.293055e-04	2.294142e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d11-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d11-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

