# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d17-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d17-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d17-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d17-x01-y01
Title=Thrust Minor for $n^{\mathrm{jet}} = 3$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d17-x01-y01
RatioPlot=1
LogY=1
XLabel=$T_{m}$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dT_{m}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d17-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	5.868200e-01	8.574370e-03	8.642340e-03
2.000000e-02	4.000000e-02	1.208510e+00	1.634478e-02	1.646310e-02
4.000000e-02	6.000000e-02	1.553710e+00	2.037610e-02	2.051059e-02
6.000000e-02	8.000000e-02	1.681430e+00	2.217952e-02	2.230295e-02
8.000000e-02	1.000000e-01	1.669370e+00	2.254417e-02	2.264621e-02
1.000000e-01	1.200000e-01	1.624080e+00	2.279190e-02	2.287392e-02
1.200000e-01	1.400000e-01	1.463260e+00	2.106327e-02	2.112623e-02
1.400000e-01	1.600000e-01	1.193280e+00	1.775048e-02	1.779525e-02
1.600000e-01	1.800000e-01	9.364340e-01	1.450219e-02	1.453394e-02
1.800000e-01	2.000000e-01	7.219200e-01	1.146197e-02	1.148559e-02
2.000000e-01	2.200000e-01	5.611430e-01	9.258711e-03	9.277072e-03
2.200000e-01	2.400000e-01	4.412480e-01	7.507067e-03	7.522200e-03
2.400000e-01	2.600000e-01	3.473390e-01	6.169751e-03	6.182408e-03
2.600000e-01	2.800000e-01	2.767710e-01	5.165830e-03	5.176609e-03
2.800000e-01	3.000000e-01	2.192520e-01	4.216710e-03	4.226034e-03
3.000000e-01	3.200000e-01	1.760150e-01	3.558440e-03	3.566408e-03
3.200000e-01	3.400000e-01	1.413030e-01	2.976020e-03	2.982816e-03
3.400000e-01	3.600000e-01	1.148200e-01	2.483573e-03	2.489442e-03
3.600000e-01	3.800000e-01	9.240070e-02	2.132157e-03	2.136910e-03
3.800000e-01	4.000000e-01	7.347320e-02	1.783896e-03	1.787684e-03
4.000000e-01	4.200000e-01	5.860330e-02	1.468790e-03	1.471816e-03
4.200000e-01	4.400000e-01	4.690530e-02	1.264966e-03	1.267242e-03
4.400000e-01	4.600000e-01	3.758840e-02	1.079844e-03	1.081532e-03
4.600000e-01	4.800000e-01	2.997380e-02	8.732873e-04	8.745573e-04
4.800000e-01	5.200000e-01	1.968480e-02	5.432263e-04	5.437609e-04
5.200000e-01	5.700000e-01	7.610450e-03	2.824262e-04	2.825695e-04
5.700000e-01	6.600000e-01	4.894870e-04	4.769409e-05	4.770422e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d17-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d17-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
