# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d22-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d22-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d22-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d22-x01-y01
Title=Thrust Minor for $n^{\mathrm{jet}} = 4$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d22-x01-y01
RatioPlot=1
LogY=1
XLabel=$T_{m}$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dT_{m}$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d22-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d22-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.277610e-02	1.375340e-03	1.387227e-03
2.000000e-02	4.000000e-02	1.187540e-01	4.571873e-03	4.613086e-03
4.000000e-02	6.000000e-02	2.669340e-01	9.087254e-03	9.186679e-03
6.000000e-02	8.000000e-02	4.030120e-01	1.234868e-02	1.250718e-02
8.000000e-02	1.000000e-01	5.067090e-01	1.475242e-02	1.495156e-02
1.000000e-01	1.200000e-01	5.558940e-01	1.588501e-02	1.609631e-02
1.200000e-01	1.400000e-01	5.363920e-01	1.527643e-02	1.547074e-02
1.400000e-01	1.600000e-01	4.900470e-01	1.393045e-02	1.409972e-02
1.600000e-01	1.800000e-01	4.419370e-01	1.251242e-02	1.265883e-02
1.800000e-01	2.000000e-01	3.781010e-01	1.076552e-02	1.088520e-02
2.000000e-01	2.200000e-01	3.174940e-01	9.167091e-03	9.263040e-03
2.200000e-01	2.400000e-01	2.594850e-01	7.575759e-03	7.651581e-03
2.400000e-01	2.600000e-01	2.134680e-01	6.415282e-03	6.475210e-03
2.600000e-01	2.800000e-01	1.715330e-01	5.313539e-03	5.360313e-03
2.800000e-01	3.000000e-01	1.409920e-01	4.568626e-03	4.605896e-03
3.000000e-01	3.200000e-01	1.165260e-01	3.754513e-03	3.786292e-03
3.200000e-01	3.400000e-01	9.493880e-02	3.311466e-03	3.336285e-03
3.400000e-01	3.600000e-01	8.014720e-02	2.859196e-03	2.880639e-03
3.600000e-01	3.800000e-01	6.209410e-02	2.228962e-03	2.246367e-03
3.800000e-01	4.000000e-01	5.030590e-02	1.701349e-03	1.717193e-03
4.000000e-01	4.200000e-01	4.012330e-02	1.486284e-03	1.498550e-03
4.200000e-01	4.400000e-01	3.232550e-02	1.399358e-03	1.408361e-03
4.400000e-01	4.600000e-01	2.536060e-02	1.143209e-03	1.150424e-03
4.600000e-01	4.800000e-01	1.976250e-02	1.033875e-03	1.039024e-03
4.800000e-01	5.200000e-01	1.473750e-02	7.715430e-04	7.745900e-04
5.200000e-01	5.700000e-01	6.022250e-03	3.767450e-04	3.777773e-04
5.700000e-01	6.600000e-01	1.379490e-03	1.495619e-04	1.497010e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d22-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d22-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

