# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d32-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d32-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d32-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d32-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} \geq 6$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d32-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d32-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d32-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	4.557190e-04	6.754498e-05	6.752220e-05
3.000000e-02	6.000000e-02	2.142770e-03	2.213363e-04	2.245567e-04
6.000000e-02	9.000000e-02	4.597610e-03	4.149876e-04	4.229081e-04
9.000000e-02	1.200000e-01	6.458520e-03	5.335161e-04	5.456696e-04
1.200000e-01	1.600000e-01	9.415660e-03	6.899372e-04	7.085553e-04
1.600000e-01	2.000000e-01	1.128350e-02	8.063760e-04	8.289537e-04
2.000000e-01	2.400000e-01	1.258320e-02	8.736759e-04	8.991897e-04
2.400000e-01	2.800000e-01	1.294450e-02	8.840269e-04	9.102444e-04
2.800000e-01	3.200000e-01	1.241050e-02	8.296507e-04	8.548187e-04
3.200000e-01	3.600000e-01	1.174220e-02	7.629458e-04	7.868992e-04
3.600000e-01	4.000000e-01	1.032060e-02	6.817625e-04	7.019915e-04
4.000000e-01	4.400000e-01	9.755390e-03	6.384651e-04	6.572635e-04
4.400000e-01	4.800000e-01	8.126360e-03	5.285427e-04	5.438625e-04
4.800000e-01	5.200000e-01	6.793240e-03	4.381088e-04	4.506423e-04
5.200000e-01	5.600000e-01	5.466650e-03	3.658122e-04	3.752411e-04
5.600000e-01	6.000000e-01	4.550330e-03	3.160984e-04	3.234211e-04
6.000000e-01	6.400000e-01	3.755050e-03	2.594497e-04	2.653203e-04
6.400000e-01	6.800000e-01	3.039820e-03	2.145125e-04	2.190062e-04
6.800000e-01	7.200000e-01	2.418770e-03	1.778795e-04	1.811905e-04
7.200000e-01	7.600000e-01	1.841960e-03	1.494535e-04	1.516584e-04
7.600000e-01	8.000000e-01	1.588950e-03	1.255939e-04	1.274720e-04
8.000000e-01	8.400000e-01	1.159510e-03	9.098137e-05	9.230826e-05
8.400000e-01	8.800000e-01	1.001710e-03	8.162832e-05	8.268861e-05
8.800000e-01	9.200000e-01	6.437520e-04	7.238156e-05	7.285635e-05
9.200000e-01	9.600000e-01	4.433840e-04	5.626307e-05	5.654048e-05
9.600000e-01	1.000000e+00	1.196570e-04	2.706529e-05	2.707742e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d32-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d32-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

