# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d34-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d34-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d34-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d34-x01-y01
Title=Transverse Sphericity for $n^{\mathrm{jet}} = 4$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d34-x01-y01
RatioPlot=1
LogY=1
XLabel=$S_\perp$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dS_\perp$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d34-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	3.744510e-01	1.111869e-02	1.150470e-02
3.000000e-02	6.000000e-02	4.690290e-01	1.455378e-02	1.469288e-02
6.000000e-02	9.000000e-02	4.603570e-01	1.412239e-02	1.425955e-02
9.000000e-02	1.200000e-01	4.526130e-01	1.380217e-02	1.393700e-02
1.200000e-01	1.600000e-01	3.700430e-01	1.052648e-02	1.064011e-02
1.600000e-01	2.000000e-01	2.734480e-01	7.790038e-03	7.874016e-03
2.000000e-01	2.400000e-01	1.983190e-01	5.724184e-03	5.784606e-03
2.400000e-01	2.800000e-01	1.419740e-01	4.142164e-03	4.185367e-03
2.800000e-01	3.200000e-01	1.002750e-01	3.034192e-03	3.064062e-03
3.200000e-01	3.600000e-01	7.582530e-02	2.341011e-03	2.363628e-03
3.600000e-01	4.000000e-01	5.424370e-02	1.810275e-03	1.825684e-03
4.000000e-01	4.400000e-01	4.192910e-02	1.439481e-03	1.451489e-03
4.400000e-01	4.800000e-01	3.077020e-02	1.156529e-03	1.164950e-03
4.800000e-01	5.200000e-01	2.465600e-02	9.059106e-04	9.131847e-04
5.200000e-01	5.600000e-01	1.697530e-02	6.840382e-04	6.888914e-04
5.600000e-01	6.000000e-01	1.400070e-02	6.717025e-04	6.753013e-04
6.000000e-01	6.400000e-01	1.096200e-02	5.508161e-04	5.537098e-04
6.400000e-01	6.800000e-01	7.746520e-03	4.437016e-04	4.456400e-04
6.800000e-01	7.200000e-01	6.203820e-03	4.030776e-04	4.045602e-04
7.200000e-01	7.600000e-01	5.158250e-03	3.770483e-04	3.782367e-04
7.600000e-01	8.000000e-01	3.266870e-03	2.800941e-04	2.807902e-04
8.000000e-01	8.400000e-01	2.432760e-03	2.295716e-04	2.300817e-04
8.400000e-01	8.800000e-01	1.683250e-03	2.145222e-04	2.148048e-04
8.800000e-01	9.200000e-01	9.316600e-04	1.494500e-04	1.495840e-04
9.200000e-01	9.600000e-01	5.282740e-04	1.062476e-04	1.063127e-04
9.600000e-01	1.000000e+00	3.735100e-04	1.268126e-04	1.268424e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d34-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d34-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

