# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d44-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d44-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d44-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d44-x01-y01
Title=Aplanarity for $n^{\mathrm{jet}} \geq 6$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d44-x01-y01
RatioPlot=1
LogY=1
XLabel=$A$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dA$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d44-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d44-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	9.712400e-03	8.962874e-04	8.180581e-04
1.000000e-02	2.000000e-02	3.579930e-02	2.404409e-03	2.447244e-03
2.000000e-02	3.000000e-02	4.888080e-02	2.934423e-03	3.046794e-03
3.000000e-02	4.000000e-02	5.839730e-02	3.347919e-03	3.486823e-03
4.000000e-02	5.000000e-02	6.113900e-02	3.499306e-03	3.643390e-03
5.000000e-02	6.000000e-02	6.433560e-02	3.657869e-03	3.808657e-03
6.000000e-02	7.000000e-02	5.970340e-02	3.417179e-03	3.554424e-03
7.000000e-02	8.000000e-02	5.749710e-02	3.277391e-03	3.408168e-03
8.000000e-02	9.000000e-02	4.985770e-02	2.811661e-03	2.924354e-03
9.000000e-02	1.000000e-01	4.491530e-02	2.672675e-03	2.767230e-03
1.000000e-01	1.100000e-01	4.057630e-02	2.354113e-03	2.439672e-03
1.100000e-01	1.200000e-01	3.528520e-02	2.056125e-03	2.128207e-03
1.200000e-01	1.400000e-01	2.825960e-02	1.667938e-03	1.718493e-03
1.400000e-01	1.600000e-01	1.976720e-02	1.229170e-03	1.262363e-03
1.600000e-01	1.800000e-01	1.515640e-02	9.810608e-04	1.005404e-03
1.800000e-01	2.000000e-01	1.153340e-02	7.900312e-04	8.076306e-04
2.000000e-01	2.200000e-01	7.287970e-03	5.350529e-04	5.456097e-04
2.200000e-01	2.400000e-01	4.233700e-03	3.524163e-04	3.579985e-04
2.400000e-01	2.600000e-01	3.050900e-03	2.554207e-04	2.596013e-04
2.600000e-01	2.800000e-01	2.224050e-03	2.150567e-04	2.178618e-04
2.800000e-01	3.100000e-01	1.325260e-03	1.308059e-04	1.326030e-04
3.100000e-01	4.000000e-01	2.205760e-04	3.171239e-05	3.226861e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d44-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d44-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	4.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-02	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	1.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e-01	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	1.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

