# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d53-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d53-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d53-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d53-x01-y01
Title=C for $n^{\mathrm{jet}} = 3$, 1.5 TeV $< H_{T2} <$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d53-x01-y01
RatioPlot=1
LogY=1
XLabel=$C$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dC$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d53-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d53-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	5.073990e-02	7.311431e-04	7.457117e-04
3.000000e-02	6.000000e-02	2.033600e-01	2.028456e-03	2.085789e-03
6.000000e-02	9.000000e-02	2.874500e-01	2.749490e-03	2.833956e-03
9.000000e-02	1.200000e-01	3.184730e-01	3.139240e-03	3.230087e-03
1.200000e-01	1.600000e-01	3.437260e-01	3.505158e-03	3.596199e-03
1.600000e-01	2.000000e-01	3.582780e-01	3.705887e-03	3.797025e-03
2.000000e-01	2.400000e-01	3.662110e-01	3.750253e-03	3.840936e-03
2.400000e-01	2.800000e-01	3.692370e-01	3.908384e-03	3.992566e-03
2.800000e-01	3.200000e-01	3.741130e-01	3.962397e-03	4.041982e-03
3.200000e-01	3.600000e-01	3.717670e-01	3.965286e-03	4.036774e-03
3.600000e-01	4.000000e-01	3.725000e-01	4.124337e-03	4.184914e-03
4.000000e-01	4.400000e-01	3.843980e-01	4.394112e-03	4.444330e-03
4.400000e-01	4.800000e-01	4.003290e-01	4.583794e-03	4.623054e-03
4.800000e-01	5.200000e-01	4.195310e-01	4.979202e-03	5.003389e-03
5.200000e-01	5.600000e-01	4.435130e-01	5.377646e-03	5.383958e-03
5.600000e-01	6.000000e-01	4.733330e-01	5.788536e-03	5.772446e-03
6.000000e-01	6.400000e-01	4.984880e-01	6.375016e-03	6.332837e-03
6.400000e-01	6.800000e-01	5.208370e-01	6.902618e-03	6.830843e-03
6.800000e-01	7.200000e-01	5.334090e-01	7.239511e-03	7.135470e-03
7.200000e-01	7.600000e-01	5.025160e-01	6.979359e-03	6.851219e-03
7.600000e-01	8.000000e-01	1.865060e-01	2.780188e-03	2.723878e-03
8.000000e-01	8.400000e-01	6.260480e-02	1.121864e-03	1.102621e-03
8.400000e-01	9.200000e-01	1.448740e-02	2.781681e-04	2.759189e-04
9.200000e-01	1.000000e+00	1.379160e-03	7.410079e-05	7.407785e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d53-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d53-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

