# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d60-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d60-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d60-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d60-x01-y01
Title=C for $n^{\mathrm{jet}} \geq 6$, $H_{T2} >$ 2.0 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d60-x01-y01
RatioPlot=1
LogY=1
XLabel=$C$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dC$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d60-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d60-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-02	6.000000e-02	1.102780e-06	1.451371e-06	1.451455e-06
6.000000e-02	9.000000e-02	1.166310e-05	6.035974e-06	6.038318e-06
9.000000e-02	1.200000e-01	1.063080e-04	5.659207e-05	5.661378e-05
1.200000e-01	1.600000e-01	3.245580e-04	8.310266e-05	8.326344e-05
1.600000e-01	2.000000e-01	8.444570e-04	1.313201e-04	1.320339e-04
2.000000e-01	2.400000e-01	1.486520e-03	1.907339e-04	1.923115e-04
2.400000e-01	2.800000e-01	2.506060e-03	2.507741e-04	2.542990e-04
2.800000e-01	3.200000e-01	3.805660e-03	3.859288e-04	3.913984e-04
3.200000e-01	3.600000e-01	5.016630e-03	4.597644e-04	4.680021e-04
3.600000e-01	4.000000e-01	6.333570e-03	5.660685e-04	5.770789e-04
4.000000e-01	4.400000e-01	7.632800e-03	5.935997e-04	6.092773e-04
4.400000e-01	4.800000e-01	9.666990e-03	6.681439e-04	6.910659e-04
4.800000e-01	5.200000e-01	9.931230e-03	6.407574e-04	6.666133e-04
5.200000e-01	5.600000e-01	1.183300e-02	8.097956e-04	8.396436e-04
5.600000e-01	6.000000e-01	1.355630e-02	8.437254e-04	8.820491e-04
6.000000e-01	6.400000e-01	1.493790e-02	9.673902e-04	1.008882e-03
6.400000e-01	6.800000e-01	1.544050e-02	1.057566e-03	1.098942e-03
6.800000e-01	7.200000e-01	1.665990e-02	1.094841e-03	1.142010e-03
7.200000e-01	7.600000e-01	1.725020e-02	1.113276e-03	1.163602e-03
7.600000e-01	8.000000e-01	1.537390e-02	1.054405e-03	1.097135e-03
8.000000e-01	8.400000e-01	1.175590e-02	8.471930e-04	8.785717e-04
8.400000e-01	9.200000e-01	4.029300e-03	3.292784e-04	3.376522e-04
9.200000e-01	1.000000e+00	5.099060e-04	8.698034e-05	8.717941e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d60-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d60-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

