# BEGIN PLOT
LegendOnly=/ATLAS_2020_I1808726/d62-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d62-x01-y01
DrawOnly=/ATLAS_2020_I1808726/d62-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d62-x01-y01
Title=D for $n^{\mathrm{jet}} = 4$, 1.0 TeV $< H_{T2} <$ 1.5 TeV
RatioPlotReference=/ATLAS_2020_I1808726/d62-x01-y01
RatioPlot=1
LogY=1
XLabel=$D$
YLabel=$(1/\sigma(n^{\mathrm{jet}} \geq 2) d\sigma/dD$
Legend=1
# END PLOT

# BEGIN HISTO1D /ATLAS_2020_I1808726/d62-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2020_I1808726/d62-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	7.911520e-01	1.575619e-02	1.697909e-02
3.000000e-02	6.000000e-02	5.461660e-01	1.273831e-02	1.302707e-02
6.000000e-02	9.000000e-02	4.156340e-01	9.754511e-03	9.976844e-03
9.000000e-02	1.200000e-01	3.279920e-01	7.742265e-03	7.919872e-03
1.200000e-01	1.600000e-01	2.527780e-01	6.040629e-03	6.147984e-03
1.600000e-01	2.000000e-01	1.917630e-01	4.620926e-03	4.697014e-03
2.000000e-01	2.400000e-01	1.483590e-01	3.609584e-03	3.663274e-03
2.400000e-01	2.800000e-01	1.163220e-01	2.846162e-03	2.883464e-03
2.800000e-01	3.200000e-01	9.008060e-02	2.233824e-03	2.257998e-03
3.200000e-01	3.600000e-01	6.986390e-02	1.743069e-03	1.757631e-03
3.600000e-01	4.000000e-01	5.329220e-02	1.349537e-03	1.356802e-03
4.000000e-01	4.400000e-01	4.041730e-02	1.051755e-03	1.053918e-03
4.400000e-01	4.800000e-01	3.152960e-02	8.379390e-04	8.367578e-04
4.800000e-01	5.200000e-01	2.374040e-02	6.333339e-04	6.300297e-04
5.200000e-01	5.600000e-01	1.796440e-02	4.995429e-04	4.951885e-04
5.600000e-01	6.000000e-01	1.389660e-02	3.989535e-04	3.940907e-04
6.000000e-01	6.400000e-01	1.011460e-02	3.033291e-04	2.987526e-04
6.400000e-01	6.800000e-01	7.501650e-03	2.318166e-04	2.276302e-04
6.800000e-01	7.600000e-01	4.435550e-03	1.313517e-04	1.292789e-04
7.600000e-01	8.500000e-01	1.934250e-03	7.311189e-05	7.236462e-05
8.500000e-01	1.000000e+00	3.854570e-04	2.043311e-05	2.037171e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d62-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/ATLAS_2020_I1808726/d62-x01-y01
ScaledBy=0.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-02	1.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-01	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	2.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-01	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

