# BEGIN PLOT
LegendOnly=/CMS_2016_I1459051/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2016_I1459051/d09-x01-y01
DrawOnly=/CMS_2016_I1459051/d09-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2016_I1459051/d09-x01-y01
Title=CMS, $\sqrt{(}s)$ = 13 TeV, Inclusive AK4 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/CMS_2016_I1459051/d09-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=2
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=0.1
FullRange=1
# END PLOT

# BEGIN HISTO1D /CMS_2016_I1459051/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2016_I1459051/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	5.591620e+03	7.663448e+02	7.663448e+02
1.330000e+02	1.530000e+02	2.752740e+03	2.725436e+02	2.725436e+02
1.530000e+02	1.740000e+02	1.383410e+03	1.605484e+02	1.605484e+02
1.740000e+02	1.960000e+02	7.223570e+02	9.892090e+01	9.892090e+01
1.960000e+02	2.200000e+02	3.871940e+02	5.738170e+01	5.738170e+01
2.200000e+02	2.450000e+02	2.458650e+02	2.306593e+01	2.306593e+01
2.450000e+02	2.720000e+02	1.468730e+02	1.474894e+01	1.474894e+01
2.720000e+02	3.000000e+02	7.504360e+01	7.913318e+00	7.913318e+00
3.000000e+02	3.300000e+02	4.110760e+01	3.349096e+00	3.349096e+00
3.300000e+02	3.620000e+02	2.460340e+01	2.072659e+00	2.072659e+00
3.620000e+02	3.950000e+02	1.469680e+01	1.265701e+00	1.265701e+00
3.950000e+02	4.300000e+02	1.000270e+01	8.892259e-01	8.892259e-01
4.300000e+02	4.680000e+02	6.449620e+00	5.579016e-01	5.579016e-01
4.680000e+02	5.070000e+02	3.725530e+00	3.306660e-01	3.306660e-01
5.070000e+02	5.480000e+02	2.277070e+00	2.033643e-01	2.033643e-01
5.480000e+02	5.920000e+02	1.435860e+00	1.330075e-01	1.330075e-01
5.920000e+02	6.380000e+02	9.058150e-01	8.603474e-02	8.603474e-02
6.380000e+02	6.860000e+02	5.708060e-01	5.399613e-02	5.399613e-02
6.860000e+02	7.370000e+02	3.647550e-01	3.619808e-02	3.619808e-02
7.370000e+02	7.900000e+02	2.396390e-01	2.422085e-02	2.422085e-02
7.900000e+02	8.460000e+02	1.556950e-01	1.650145e-02	1.650145e-02
8.460000e+02	9.050000e+02	9.249060e-02	1.039117e-02	1.039117e-02
9.050000e+02	9.670000e+02	5.582970e-02	6.759938e-03	6.759938e-03
9.670000e+02	1.032000e+03	3.447590e-02	4.527075e-03	4.527075e-03
1.032000e+03	1.101000e+03	2.211070e-02	3.199403e-03	3.199403e-03
