# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x01-y01
DrawOnly=/CMS_2018_I1680318/d01-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x01-y01
YMax=5.
Title=CMS, 13 TeV, $pp$ Inelastic
RatioPlotReference=/CMS_2018_I1680318/d01-x01-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	2.837300e+00	1.204037e-01	1.139153e-01
-2.200000e+00	-2.000000e+00	2.923500e+00	1.241974e-01	1.174089e-01
-2.000000e+00	-1.800000e+00	2.939100e+00	1.250018e-01	1.180138e-01
-1.800000e+00	-1.600000e+00	2.984500e+00	1.269044e-01	1.198165e-01
-1.600000e+00	-1.400000e+00	3.011200e+00	1.279085e-01	1.209206e-01
-1.400000e+00	-1.200000e+00	3.049100e+00	1.292064e-01	1.224179e-01
-1.200000e+00	-1.000000e+00	3.013700e+00	1.275035e-01	1.210144e-01
-1.000000e+00	-8.000000e-01	2.948100e+00	1.245026e-01	1.184130e-01
-8.000000e-01	-6.000000e-01	2.951400e+00	1.246024e-01	1.185129e-01
-6.000000e-01	-4.000000e-01	2.955000e+00	1.248021e-01	1.186127e-01
-4.000000e-01	-2.000000e-01	2.943900e+00	1.244028e-01	1.182134e-01
-2.000000e-01	0.000000e+00	2.908600e+00	1.228995e-01	1.168099e-01
0.000000e+00	2.000000e-01	2.908600e+00	1.228995e-01	1.168099e-01
2.000000e-01	4.000000e-01	2.943900e+00	1.244028e-01	1.182134e-01
4.000000e-01	6.000000e-01	2.955000e+00	1.248021e-01	1.186127e-01
6.000000e-01	8.000000e-01	2.951400e+00	1.246024e-01	1.185129e-01
8.000000e-01	1.000000e+00	2.948100e+00	1.245026e-01	1.184130e-01
1.000000e+00	1.200000e+00	3.013700e+00	1.275035e-01	1.210144e-01
1.200000e+00	1.400000e+00	3.049100e+00	1.292064e-01	1.224179e-01
1.400000e+00	1.600000e+00	3.011200e+00	1.279085e-01	1.209206e-01
1.600000e+00	1.800000e+00	2.984500e+00	1.269044e-01	1.198165e-01
1.800000e+00	2.000000e+00	2.939100e+00	1.250018e-01	1.180138e-01
2.000000e+00	2.200000e+00	2.923500e+00	1.241974e-01	1.174089e-01
2.200000e+00	2.400000e+00	2.837300e+00	1.204037e-01	1.139153e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x01-y01
ScaledBy=5.30420825289538203e-13
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	1.018147e+01	6.054606e-02	6.054606e-02
-2.200000e+00	-2.000000e+00	1.082919e+01	6.244229e-02	6.244229e-02
-2.000000e+00	-1.800000e+00	1.124433e+01	6.362790e-02	6.362790e-02
-1.800000e+00	-1.600000e+00	1.178224e+01	6.513206e-02	6.513206e-02
-1.600000e+00	-1.400000e+00	1.198351e+01	6.568600e-02	6.568600e-02
-1.400000e+00	-1.200000e+00	1.216786e+01	6.618929e-02	6.618929e-02
-1.200000e+00	-1.000000e+00	1.239109e+01	6.679369e-02	6.679369e-02
-1.000000e+00	-8.000000e-01	1.259416e+01	6.733879e-02	6.733879e-02
-8.000000e-01	-6.000000e-01	1.279830e+01	6.788236e-02	6.788236e-02
-6.000000e-01	-4.000000e-01	1.282891e+01	6.796348e-02	6.796348e-02
-4.000000e-01	-2.000000e-01	1.304854e+01	6.854278e-02	6.854278e-02
-2.000000e-01	0.000000e+00	1.312054e+01	6.873163e-02	6.873163e-02
0.000000e+00	2.000000e-01	1.286275e+01	6.805307e-02	6.805307e-02
2.000000e-01	4.000000e-01	1.287463e+01	6.808449e-02	6.808449e-02
4.000000e-01	6.000000e-01	1.303954e+01	6.851912e-02	6.851912e-02
6.000000e-01	8.000000e-01	1.292972e+01	6.823000e-02	6.823000e-02
8.000000e-01	1.000000e+00	1.267769e+01	6.756173e-02	6.756173e-02
1.000000e+00	1.200000e+00	1.248326e+01	6.704167e-02	6.704167e-02
1.200000e+00	1.400000e+00	1.224527e+01	6.639951e-02	6.639951e-02
1.400000e+00	1.600000e+00	1.207280e+01	6.593027e-02	6.593027e-02
1.600000e+00	1.800000e+00	1.159106e+01	6.460145e-02	6.460145e-02
1.800000e+00	2.000000e+00	1.130050e+01	6.378662e-02	6.378662e-02
2.000000e+00	2.200000e+00	1.090660e+01	6.266506e-02	6.266506e-02
2.200000e+00	2.400000e+00	1.050803e+01	6.150939e-02	6.150939e-02
# END HISTO1D

