# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x02-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x02-y01
DrawOnly=/CMS_2018_I1680318/d01-x02-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x02-y01
YMax=5.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x02-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	2.979800e+00	1.326011e-01	1.223180e-01
-2.200000e+00	-2.000000e+00	3.071200e+00	1.367004e-01	1.260175e-01
-2.000000e+00	-1.800000e+00	3.088100e+00	1.374993e-01	1.267163e-01
-1.800000e+00	-1.600000e+00	3.137500e+00	1.396070e-01	1.288244e-01
-1.600000e+00	-1.400000e+00	3.165000e+00	1.405111e-01	1.299284e-01
-1.400000e+00	-1.200000e+00	3.205800e+00	1.418092e-01	1.316254e-01
-1.200000e+00	-1.000000e+00	3.169500e+00	1.398067e-01	1.301221e-01
-1.000000e+00	-8.000000e-01	3.100500e+00	1.364063e-01	1.273211e-01
-8.000000e-01	-6.000000e-01	3.105500e+00	1.366060e-01	1.275207e-01
-6.000000e-01	-4.000000e-01	3.109500e+00	1.368057e-01	1.277204e-01
-4.000000e-01	-2.000000e-01	3.097700e+00	1.364063e-01	1.272213e-01
-2.000000e-01	0.000000e+00	3.060200e+00	1.348033e-01	1.257180e-01
0.000000e+00	2.000000e-01	3.060200e+00	1.348033e-01	1.257180e-01
2.000000e-01	4.000000e-01	3.097700e+00	1.364063e-01	1.272213e-01
4.000000e-01	6.000000e-01	3.109500e+00	1.368057e-01	1.277204e-01
6.000000e-01	8.000000e-01	3.105500e+00	1.366060e-01	1.275207e-01
8.000000e-01	1.000000e+00	3.100500e+00	1.364063e-01	1.273211e-01
1.000000e+00	1.200000e+00	3.169500e+00	1.398067e-01	1.301221e-01
1.200000e+00	1.400000e+00	3.205800e+00	1.418092e-01	1.316254e-01
1.400000e+00	1.600000e+00	3.165000e+00	1.405111e-01	1.299284e-01
1.600000e+00	1.800000e+00	3.137500e+00	1.396070e-01	1.288244e-01
1.800000e+00	2.000000e+00	3.088100e+00	1.374993e-01	1.267163e-01
2.000000e+00	2.200000e+00	3.071200e+00	1.367004e-01	1.260175e-01
2.200000e+00	2.400000e+00	2.979800e+00	1.326011e-01	1.223180e-01
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x02-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x02-y01
ScaledBy=5.31262459487617537e-13
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	1.018789e+01	6.061318e-02	6.061318e-02
-2.200000e+00	-2.000000e+00	1.083555e+01	6.251018e-02	6.251018e-02
-2.000000e+00	-1.800000e+00	1.125135e+01	6.369823e-02	6.369823e-02
-1.800000e+00	-1.600000e+00	1.178904e+01	6.520249e-02	6.520249e-02
-1.600000e+00	-1.400000e+00	1.199387e+01	6.576650e-02	6.576650e-02
-1.400000e+00	-1.200000e+00	1.218031e+01	6.627569e-02	6.627569e-02
-1.200000e+00	-1.000000e+00	1.240173e+01	6.687537e-02	6.687537e-02
-1.000000e+00	-8.000000e-01	1.260657e+01	6.742538e-02	6.742538e-02
-8.000000e-01	-6.000000e-01	1.280923e+01	6.796519e-02	6.796519e-02
-6.000000e-01	-4.000000e-01	1.284241e+01	6.805316e-02	6.805316e-02
-4.000000e-01	-2.000000e-01	1.305373e+01	6.861079e-02	6.861079e-02
-2.000000e-01	0.000000e+00	1.312910e+01	6.880858e-02	6.880858e-02
0.000000e+00	2.000000e-01	1.287234e+01	6.813243e-02	6.813243e-02
2.000000e-01	4.000000e-01	1.288496e+01	6.816581e-02	6.816581e-02
4.000000e-01	6.000000e-01	1.305157e+01	6.860510e-02	6.860510e-02
6.000000e-01	8.000000e-01	1.294266e+01	6.831826e-02	6.831826e-02
8.000000e-01	1.000000e+00	1.269095e+01	6.765067e-02	6.765067e-02
1.000000e+00	1.200000e+00	1.249477e+01	6.712576e-02	6.712576e-02
1.200000e+00	1.400000e+00	1.225676e+01	6.648336e-02	6.648336e-02
1.400000e+00	1.600000e+00	1.208330e+01	6.601125e-02	6.601125e-02
1.600000e+00	1.800000e+00	1.160512e+01	6.469190e-02	6.469190e-02
1.800000e+00	2.000000e+00	1.131518e+01	6.387867e-02	6.387867e-02
2.000000e+00	2.200000e+00	1.091958e+01	6.275207e-02	6.275207e-02
2.200000e+00	2.400000e+00	1.052074e+01	6.159537e-02	6.159537e-02
# END HISTO1D

