# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x03-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x03-y01
DrawOnly=/CMS_2018_I1680318/d01-x03-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x03-y01
YMax=1.8
Title=CMS, 13 TeV, $pp$ Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x03-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.15
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x03-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x03-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	7.119000e-01	5.032941e-02	5.301773e-02
-2.200000e+00	-2.000000e+00	7.274000e-01	5.240229e-02	5.608895e-02
-2.000000e+00	-1.800000e+00	7.280000e-01	5.338998e-02	5.827401e-02
-1.800000e+00	-1.600000e+00	7.184000e-01	5.348963e-02	6.006879e-02
-1.600000e+00	-1.400000e+00	7.289000e-01	5.499273e-02	6.356666e-02
-1.400000e+00	-1.200000e+00	7.302000e-01	5.608083e-02	6.625300e-02
-1.200000e+00	-1.000000e+00	7.153000e-01	5.616485e-02	6.703805e-02
-1.000000e+00	-8.000000e-01	6.938000e-01	5.577383e-02	6.684497e-02
-8.000000e-01	-6.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
-6.000000e-01	-4.000000e-01	6.813000e-01	5.647167e-02	6.804241e-02
-4.000000e-01	-2.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
-2.000000e-01	0.000000e+00	6.708000e-01	5.576603e-02	6.783642e-02
0.000000e+00	2.000000e-01	6.708000e-01	5.576603e-02	6.783642e-02
2.000000e-01	4.000000e-01	6.775000e-01	5.627228e-02	6.824200e-02
4.000000e-01	6.000000e-01	6.813000e-01	5.647167e-02	6.814220e-02
6.000000e-01	8.000000e-01	6.808000e-01	5.577383e-02	6.704454e-02
8.000000e-01	1.000000e+00	6.938000e-01	5.577383e-02	6.684497e-02
1.000000e+00	1.200000e+00	7.153000e-01	5.616485e-02	6.703805e-02
1.200000e+00	1.400000e+00	7.302000e-01	5.608083e-02	6.625300e-02
1.400000e+00	1.600000e+00	7.289000e-01	5.499273e-02	6.356666e-02
1.600000e+00	1.800000e+00	7.184000e-01	5.348963e-02	6.006879e-02
1.800000e+00	2.000000e+00	7.280000e-01	5.338998e-02	5.827401e-02
2.000000e+00	2.200000e+00	7.274000e-01	5.240229e-02	5.608895e-02
2.200000e+00	2.400000e+00	7.119000e-01	5.032941e-02	5.301773e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x03-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x03-y01
ScaledBy=3.34816090945264411e-10
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.136365e+00	1.180944e+00	1.180944e+00
-2.200000e+00	-2.000000e+00	6.818180e+00	1.244824e+00	1.244824e+00
-2.000000e+00	-1.800000e+00	6.818180e+00	1.244824e+00	1.244824e+00
-1.800000e+00	-1.600000e+00	7.500000e+00	1.305582e+00	1.305582e+00
-1.600000e+00	-1.400000e+00	5.454545e+00	1.113404e+00	1.113404e+00
-1.400000e+00	-1.200000e+00	4.318182e+00	9.906589e-01	9.906589e-01
-1.200000e+00	-1.000000e+00	5.681820e+00	1.136364e+00	1.136364e+00
-1.000000e+00	-8.000000e-01	4.772728e+00	1.041494e+00	1.041494e+00
-8.000000e-01	-6.000000e-01	5.909090e+00	1.158868e+00	1.158868e+00
-6.000000e-01	-4.000000e-01	4.318182e+00	9.906589e-01	9.906589e-01
-4.000000e-01	-2.000000e-01	9.772725e+00	1.490327e+00	1.490327e+00
-2.000000e-01	0.000000e+00	7.727275e+00	1.325216e+00	1.325216e+00
0.000000e+00	2.000000e-01	6.818180e+00	1.244824e+00	1.244824e+00
2.000000e-01	4.000000e-01	6.363635e+00	1.202614e+00	1.202614e+00
4.000000e-01	6.000000e-01	5.454545e+00	1.113404e+00	1.113404e+00
6.000000e-01	8.000000e-01	4.772727e+00	1.041494e+00	1.041494e+00
8.000000e-01	1.000000e+00	4.318182e+00	9.906589e-01	9.906589e-01
1.000000e+00	1.200000e+00	5.227275e+00	1.089962e+00	1.089962e+00
1.200000e+00	1.400000e+00	5.000000e+00	1.066004e+00	1.066004e+00
1.400000e+00	1.600000e+00	5.454545e+00	1.113404e+00	1.113404e+00
1.600000e+00	1.800000e+00	2.727273e+00	7.872958e-01	7.872958e-01
1.800000e+00	2.000000e+00	2.045455e+00	6.818182e-01	6.818182e-01
2.000000e+00	2.200000e+00	2.727272e+00	7.872958e-01	7.872958e-01
2.200000e+00	2.400000e+00	2.500000e+00	7.537783e-01	7.537783e-01
# END HISTO1D

