# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d01-x04-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x04-y01
DrawOnly=/CMS_2018_I1680318/d01-x04-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x04-y01
YMax=1.8
Title=CMS, 13 TeV, $pp$ Single Diffractive enhanced (One-Side)
RatioPlotReference=/CMS_2018_I1680318/d01-x04-y01
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
XLabel=$\eta$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
YMin=0.15
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x04-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x04-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	1.185300e+00	7.975588e-02	8.422618e-02
-2.200000e+00	-2.000000e+00	1.166800e+00	8.018435e-02	8.615062e-02
-2.000000e+00	-1.800000e+00	1.129700e+00	7.904758e-02	8.710597e-02
-1.800000e+00	-1.600000e+00	1.068700e+00	7.584458e-02	8.639005e-02
-1.600000e+00	-1.400000e+00	1.050100e+00	7.544693e-02	8.887908e-02
-1.400000e+00	-1.200000e+00	1.003800e+00	7.301781e-02	8.854423e-02
-1.200000e+00	-1.000000e+00	9.534000e-01	7.066774e-02	8.709811e-02
-1.000000e+00	-8.000000e-01	8.768000e-01	6.656906e-02	8.239788e-02
-8.000000e-01	-6.000000e-01	8.153000e-01	6.336592e-02	7.849510e-02
-6.000000e-01	-4.000000e-01	7.748000e-01	6.155485e-02	7.598717e-02
-4.000000e-01	-2.000000e-01	7.370000e-01	5.964436e-02	7.328001e-02
-2.000000e-01	0.000000e+00	6.851000e-01	5.641994e-02	6.866265e-02
0.000000e+00	2.000000e-01	6.566000e-01	5.511669e-02	6.606398e-02
2.000000e-01	4.000000e-01	6.186000e-01	5.290794e-02	6.226146e-02
4.000000e-01	6.000000e-01	5.885000e-01	5.128509e-02	5.914702e-02
6.000000e-01	8.000000e-01	5.484000e-01	4.866796e-02	5.483767e-02
8.000000e-01	1.000000e+00	5.156000e-01	4.644868e-02	5.112583e-02
1.000000e+00	1.200000e+00	4.852000e-01	4.421945e-02	4.740464e-02
1.200000e+00	1.400000e+00	4.648000e-01	4.283702e-02	4.452797e-02
1.400000e+00	1.600000e+00	4.188000e-01	3.932493e-02	3.912608e-02
1.600000e+00	1.800000e+00	3.789000e-01	3.709515e-02	3.470864e-02
1.800000e+00	2.000000e+00	3.408000e-01	3.587116e-02	3.129633e-02
2.000000e+00	2.200000e+00	3.020000e-01	3.524557e-02	2.867909e-02
2.200000e+00	2.400000e+00	2.535000e-01	3.313608e-02	2.567586e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x04-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d01-x04-y01
ScaledBy=3.34816090945264411e-10
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	6.818180e+00	1.244824e+00	1.244824e+00
-2.200000e+00	-2.000000e+00	5.227275e+00	1.089962e+00	1.089962e+00
-2.000000e+00	-1.800000e+00	7.727275e+00	1.325216e+00	1.325216e+00
-1.800000e+00	-1.600000e+00	7.500000e+00	1.305582e+00	1.305582e+00
-1.600000e+00	-1.400000e+00	7.272725e+00	1.285649e+00	1.285649e+00
-1.400000e+00	-1.200000e+00	5.227275e+00	1.089962e+00	1.089962e+00
-1.200000e+00	-1.000000e+00	6.590910e+00	1.223901e+00	1.223901e+00
-1.000000e+00	-8.000000e-01	4.318182e+00	9.906589e-01	9.906589e-01
-8.000000e-01	-6.000000e-01	5.454545e+00	1.113404e+00	1.113404e+00
-6.000000e-01	-4.000000e-01	3.636364e+00	9.090909e-01	9.090909e-01
-4.000000e-01	-2.000000e-01	7.272725e+00	1.285649e+00	1.285649e+00
-2.000000e-01	0.000000e+00	6.818180e+00	1.244824e+00	1.244824e+00
0.000000e+00	2.000000e-01	7.727275e+00	1.325216e+00	1.325216e+00
2.000000e-01	4.000000e-01	8.863635e+00	1.419318e+00	1.419318e+00
4.000000e-01	6.000000e-01	6.136365e+00	1.180944e+00	1.180944e+00
6.000000e-01	8.000000e-01	5.227275e+00	1.089962e+00	1.089962e+00
8.000000e-01	1.000000e+00	4.772728e+00	1.041494e+00	1.041494e+00
1.000000e+00	1.200000e+00	4.318182e+00	9.906589e-01	9.906589e-01
1.200000e+00	1.400000e+00	4.090909e+00	9.642365e-01	9.642365e-01
1.400000e+00	1.600000e+00	3.636363e+00	9.090909e-01	9.090909e-01
1.600000e+00	1.800000e+00	2.727273e+00	7.872958e-01	7.872958e-01
1.800000e+00	2.000000e+00	1.136364e+00	5.081973e-01	5.081973e-01
2.000000e+00	2.200000e+00	4.318182e+00	9.906589e-01	9.906589e-01
2.200000e+00	2.400000e+00	1.818182e+00	6.428244e-01	6.428244e-01
# END HISTO1D

