# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d02-x01-y01
DrawOnly=/CMS_2018_I1680318/d02-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d02-x01-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Inelastic
RatioPlotReference=/CMS_2018_I1680318/d02-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=$p_{T} [GeV]$ 
YLabel=$(1/N^{tot}_{events})dN_{ch}/dp_{T}$ 
YMin=0.000001
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d02-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	2.826677e+01	1.267274e+00	1.203433e+00
6.000000e-01	8.000000e-01	1.951651e+01	8.356493e-01	8.065008e-01
8.000000e-01	1.300000e+00	9.065527e+00	3.813389e-01	3.674096e-01
1.300000e+00	1.600000e+00	3.839496e+00	1.685262e-01	1.572530e-01
1.600000e+00	2.300000e+00	1.622869e+00	7.416750e-02	6.556312e-02
2.300000e+00	3.200000e+00	4.651969e-01	2.167943e-02	1.877452e-02
3.200000e+00	4.500000e+00	1.143731e-01	5.139842e-03	4.614443e-03
4.500000e+00	6.300000e+00	2.352298e-02	9.946389e-04	9.547841e-04
6.300000e+00	9.000000e+00	4.385190e-03	1.844141e-04	1.848364e-04
9.000000e+00	1.200000e+01	8.835200e-04	4.077248e-05	4.483203e-05
1.200000e+01	1.800000e+01	1.718500e-04	9.215883e-06	1.086449e-05
1.800000e+01	5.000000e+01	8.010000e-06	6.762396e-07	7.655064e-07
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d02-x01-y01
ScaledBy=5.30420825289538203e-13
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	7.879672e+01	2.382044e-01	2.382044e-01
6.000000e-01	8.000000e-01	5.763090e+01	1.440484e-01	1.440484e-01
8.000000e-01	1.300000e+00	3.116122e+01	6.699125e-02	6.699125e-02
1.300000e+00	1.600000e+00	1.682773e+01	6.355474e-02	6.355474e-02
1.600000e+00	2.300000e+00	9.537389e+00	3.132287e-02	3.132287e-02
2.300000e+00	3.200000e+00	4.478929e+00	1.893048e-02	1.893048e-02
3.200000e+00	4.500000e+00	2.135922e+00	1.087719e-02	1.087719e-02
4.500000e+00	6.300000e+00	1.030340e+00	6.420218e-03	6.420218e-03
6.300000e+00	9.000000e+00	4.743311e-01	3.556761e-03	3.556761e-03
9.000000e+00	1.200000e+01	2.139171e-01	2.265990e-03	2.265990e-03
1.200000e+01	1.800000e+01	8.366338e-02	1.002047e-03	1.002047e-03
1.800000e+01	5.000000e+01	8.922463e-03	1.416978e-04	1.416978e-04
# END HISTO1D

