# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d04-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x01-y01
DrawOnly=/CMS_2018_I1680318/d04-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x01-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Inelastic
RatioPlotReference=/CMS_2018_I1680318/d04-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=$p_{T, min} [GeV]$ 
YLabel=$D(p_{T, min})$ 
YMin=0.0005
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d04-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.004282e+00	4.026981e-02	4.648952e-02
6.000000e-01	8.000000e-01	9.672406e-01	3.878715e-02	4.397006e-02
8.000000e-01	1.300000e+00	8.703119e-01	3.490622e-02	3.816850e-02
1.300000e+00	1.600000e+00	6.242044e-01	2.504608e-02	2.598731e-02
1.600000e+00	2.300000e+00	5.026151e-01	2.023319e-02	2.019921e-02
2.300000e+00	3.200000e+00	2.901134e-01	1.197977e-02	1.165048e-02
3.200000e+00	4.500000e+00	1.348360e-01	5.841348e-03	5.422844e-03
4.500000e+00	6.300000e+00	4.562347e-02	2.002201e-03	1.845233e-03
6.300000e+00	9.000000e+00	1.325922e-02	5.704683e-04	5.556577e-04
9.000000e+00	1.200000e+01	3.391890e-03	1.514361e-04	1.616907e-04
1.200000e+01	1.800000e+01	1.130370e-03	5.916921e-05	6.696555e-05
1.800000e+01	5.000000e+01	2.300100e-04	1.985910e-05	2.200400e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x01-y01
ScaledBy=5.30420825289538203e-13
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.000000e+00	8.485858e-03	8.485858e-03
6.000000e-01	8.000000e-01	1.000000e+00	8.485859e-03	8.485859e-03
8.000000e-01	1.300000e+00	9.997120e-01	8.484636e-03	8.484636e-03
1.300000e+00	1.600000e+00	9.980557e-01	8.477605e-03	8.477605e-03
1.600000e+00	2.300000e+00	9.965436e-01	8.471180e-03	8.471180e-03
2.300000e+00	3.200000e+00	9.907828e-01	8.446660e-03	8.446660e-03
3.200000e+00	4.500000e+00	9.775331e-01	8.389991e-03	8.389991e-03
4.500000e+00	6.300000e+00	9.502411e-01	8.272041e-03	8.272041e-03
6.300000e+00	9.000000e+00	8.758552e-01	7.941672e-03	7.941672e-03
9.000000e+00	1.200000e+01	6.992150e-01	7.095797e-03	7.095797e-03
1.200000e+01	1.800000e+01	4.977317e-01	5.986782e-03	5.986782e-03
1.800000e+01	5.000000e+01	2.293512e-01	4.063930e-03	4.063930e-03
# END HISTO1D

