# BEGIN PLOT
LegendOnly=/CMS_2018_I1680318/d04-x02-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x02-y01
DrawOnly=/CMS_2018_I1680318/d04-x02-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x02-y01
YMax=100.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d04-x02-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=1.4
XLabel=$p_{T, min} [GeV]$ 
YLabel=$D(p_{T, min})$ 
YMin=0.0005
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d04-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d04-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.002310e+00	4.024792e-02	4.492370e-02
6.000000e-01	8.000000e-01	9.726458e-01	3.900131e-02	4.254129e-02
8.000000e-01	1.300000e+00	8.879843e-01	3.565366e-02	3.758006e-02
1.300000e+00	1.600000e+00	6.521139e-01	2.634938e-02	2.669587e-02
1.600000e+00	2.300000e+00	5.288909e-01	2.174565e-02	2.157480e-02
2.300000e+00	3.200000e+00	3.076504e-01	1.348334e-02	1.266008e-02
3.200000e+00	4.500000e+00	1.435268e-01	6.761870e-03	5.947499e-03
4.500000e+00	6.300000e+00	4.870082e-02	2.338958e-03	2.034141e-03
6.300000e+00	9.000000e+00	1.418114e-02	6.580031e-04	6.135491e-04
9.000000e+00	1.200000e+01	3.633600e-03	1.690185e-04	1.775915e-04
1.200000e+01	1.800000e+01	1.208560e-03	6.481914e-05	7.243944e-05
1.800000e+01	5.000000e+01	2.462800e-04	2.145056e-05	2.378904e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x02-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1680318/d04-x02-y01
ScaledBy=5.31262459487617537e-13
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.000000e+00	8.492588e-03	8.492588e-03
6.000000e-01	8.000000e-01	1.000000e+00	8.492588e-03	8.492588e-03
8.000000e-01	1.300000e+00	9.997116e-01	8.491363e-03	8.491363e-03
1.300000e+00	1.600000e+00	9.980527e-01	8.484315e-03	8.484315e-03
1.600000e+00	2.300000e+00	9.965380e-01	8.477875e-03	8.477875e-03
2.300000e+00	3.200000e+00	9.907681e-01	8.453296e-03	8.453296e-03
3.200000e+00	4.500000e+00	9.776415e-01	8.397111e-03	8.397111e-03
4.500000e+00	6.300000e+00	9.503067e-01	8.278887e-03	8.278887e-03
6.300000e+00	9.000000e+00	8.758022e-01	7.947730e-03	7.947730e-03
9.000000e+00	1.200000e+01	6.988820e-01	7.099733e-03	7.099733e-03
1.200000e+01	1.800000e+01	4.975117e-01	5.990205e-03	5.990205e-03
1.800000e+01	5.000000e+01	2.293545e-01	4.067182e-03	4.067182e-03
# END HISTO1D

