# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d06-x01-y01
XLabel=$m_u$
RatioPlotReference=/CMS_2018_I1682495/d06-x01-y01
YLabel=$\frac{d^2\sigma}{dp_{T} dm_u}$
DrawOnly=/CMS_2018_I1682495/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d06-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Ungroomed jet mass $m_u$ ($650 < p_T < 760$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	4.000000e+01	2.670100e-03	1.151328e-03	1.151328e-03
4.000000e+01	6.000000e+01	1.049200e-02	2.139017e-03	2.139017e-03
6.000000e+01	8.000000e+01	1.484900e-02	3.027398e-03	3.027398e-03
8.000000e+01	1.000000e+02	1.194200e-02	2.434644e-03	2.434644e-03
1.000000e+02	1.500000e+02	6.585500e-03	9.276038e-04	9.276038e-04
1.500000e+02	2.000000e+02	3.277100e-03	2.032801e-04	2.032801e-04
2.000000e+02	2.500000e+02	1.600400e-03	1.047327e-04	1.047327e-04
2.500000e+02	3.000000e+02	6.544500e-04	6.257664e-05	6.257664e-05
3.000000e+02	3.500000e+02	1.212300e-04	2.444579e-05	2.444579e-05
3.500000e+02	4.000000e+02	4.537700e-06	2.309659e-06	2.309659e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d06-x01-y01
ScaledBy=9.09127274477166455e-08
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

