# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d12-x01-y01
XLabel=$m_u$
RatioPlotReference=/CMS_2018_I1682495/d12-x01-y01
YLabel=$\frac{d^2\sigma}{dp_{T} dm_u}$
DrawOnly=/CMS_2018_I1682495/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d12-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Ungroomed jet mass $m_u$ ($p_T > 1300$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	6.000000e+01	4.276600e-07	1.444594e-07	1.444594e-07
6.000000e+01	8.000000e+01	1.069000e-06	2.308217e-07	2.308217e-07
8.000000e+01	1.000000e+02	1.590700e-06	3.111016e-07	3.111016e-07
1.000000e+02	1.500000e+02	1.458700e-06	2.852895e-07	2.852895e-07
1.500000e+02	2.000000e+02	8.449300e-07	1.417248e-07	1.417248e-07
2.000000e+02	2.500000e+02	5.230500e-07	5.898276e-08	5.898276e-08
2.500000e+02	3.000000e+02	3.798500e-07	3.693493e-08	3.693493e-08
3.000000e+02	3.500000e+02	2.818800e-07	3.296581e-08	3.296581e-08
3.500000e+02	4.000000e+02	1.758800e-07	2.219854e-08	2.219854e-08
4.000000e+02	4.500000e+02	1.183700e-07	1.692053e-08	1.692053e-08
4.500000e+02	5.000000e+02	8.876300e-08	1.259098e-08	1.259098e-08
5.000000e+02	5.500000e+02	7.378200e-08	1.272547e-08	1.272547e-08
5.500000e+02	6.000000e+02	3.436900e-08	7.185395e-09	7.185395e-09
6.000000e+02	6.500000e+02	1.762300e-08	5.516278e-09	5.516278e-09
6.500000e+02	7.000000e+02	4.677600e-09	2.315304e-09	2.315304e-09
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d12-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d12-x01-y01
ScaledBy=8.54735044380241895e-10
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	5.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	7.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

