# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d15-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d15-x01-y01
XLabel=$m_g$
RatioPlotReference=/CMS_2018_I1682495/d15-x01-y01
YLabel=$\frac{d^2\sigma}{dp_{T} dm_g}$
DrawOnly=/CMS_2018_I1682495/d15-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d15-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Groomed jet mass $m_g$ ($350 < p_T < 460$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d15-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	7.277200e-01	6.351976e-02	6.351976e-02
2.000000e+01	4.000000e+01	3.784400e-01	2.270016e-02	2.270016e-02
4.000000e+01	6.000000e+01	2.488800e-01	1.594560e-02	1.594560e-02
6.000000e+01	8.000000e+01	1.982300e-01	1.283625e-02	1.283625e-02
8.000000e+01	1.000000e+02	1.680400e-01	1.201418e-02	1.201418e-02
1.000000e+02	1.500000e+02	1.129600e-01	7.660373e-03	7.660373e-03
1.500000e+02	2.000000e+02	3.059200e-02	3.386705e-03	3.386705e-03
2.000000e+02	2.500000e+02	9.820800e-04	3.324113e-04	3.324113e-04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d15-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d15-x01-y01
ScaledBy=9.09127274477166455e-08
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	6.171145e-01	6.171145e-01	6.171145e-01
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	2.468458e-01	2.468458e-01	2.468458e-01
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

