# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d36-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d36-x01-y01
XLabel=$m_u$
RatioPlotReference=/CMS_2018_I1682495/d36-x01-y01
YLabel=$\frac{1}{d\sigma/dp_{T}}\frac{d^2\sigma}{dp_{T} dm_u}$
DrawOnly=/CMS_2018_I1682495/d36-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d36-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Ungroomed jet mass $m_u$ ($p_T > 1300$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d36-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d36-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	6.000000e+01	1.622800e-03	5.542381e-04	5.542381e-04
6.000000e+01	8.000000e+01	4.056500e-03	8.779840e-04	8.779840e-04
8.000000e+01	1.000000e+02	6.035800e-03	1.101904e-03	1.101904e-03
1.000000e+02	1.500000e+02	5.535100e-03	1.010465e-03	1.010465e-03
1.500000e+02	2.000000e+02	3.206100e-03	4.384043e-04	4.384043e-04
2.000000e+02	2.500000e+02	1.984700e-03	1.336983e-04	1.336983e-04
2.500000e+02	3.000000e+02	1.441400e-03	7.936981e-05	7.936981e-05
3.000000e+02	3.500000e+02	1.069600e-03	8.396442e-05	8.396442e-05
3.500000e+02	4.000000e+02	6.673700e-04	5.891488e-05	5.891488e-05
4.000000e+02	4.500000e+02	4.491700e-04	4.794922e-05	4.794922e-05
4.500000e+02	5.000000e+02	3.368100e-04	4.265912e-05	4.265912e-05
5.000000e+02	5.500000e+02	2.799700e-04	4.003265e-05	4.003265e-05
5.500000e+02	6.000000e+02	1.304100e-04	2.397119e-05	2.397119e-05
6.000000e+02	6.500000e+02	6.687000e-05	1.908508e-05	1.908508e-05
6.500000e+02	7.000000e+02	1.774900e-05	8.376557e-06	8.376557e-06
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d36-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d36-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+02	5.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+02	7.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

