# BEGIN PLOT
LegendOnly=/CMS_2018_I1682495/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d46-x01-y01
XLabel=$m_g$
RatioPlotReference=/CMS_2018_I1682495/d46-x01-y01
YLabel=$\frac{1}{d\sigma/dp_{T}}\frac{d^2\sigma}{dp_{T} dm_g}$
DrawOnly=/CMS_2018_I1682495/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d46-x01-y01
RatioPlot=1
Title=CMS, 13 TeV, Groomed jet mass $m_g$ ($1100 < p_T < 1200$ GeV)
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1682495/d46-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1682495/d46-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	1.195900e-02	1.030495e-03	1.030495e-03
2.000000e+01	4.000000e+01	6.197900e-03	6.922886e-04	6.922886e-04
4.000000e+01	6.000000e+01	3.072300e-03	2.693268e-04	2.693268e-04
6.000000e+01	8.000000e+01	2.345500e-03	1.883963e-04	1.883963e-04
8.000000e+01	1.000000e+02	2.161900e-03	1.588528e-04	1.588528e-04
1.000000e+02	1.500000e+02	1.742100e-03	9.867642e-05	9.867642e-05
1.500000e+02	2.000000e+02	1.156400e-03	8.016350e-05	8.016350e-05
2.000000e+02	2.500000e+02	9.765900e-04	7.579684e-05	7.579684e-05
2.500000e+02	3.000000e+02	7.982100e-04	7.498612e-05	7.498612e-05
3.000000e+02	3.500000e+02	5.961700e-04	5.916806e-05	5.916806e-05
3.500000e+02	4.000000e+02	5.131200e-04	5.696563e-05	5.696563e-05
4.000000e+02	4.500000e+02	2.722000e-04	4.001450e-05	4.001450e-05
4.500000e+02	5.000000e+02	1.426700e-04	2.943247e-05	2.943247e-05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d46-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2018_I1682495/d46-x01-y01
ScaledBy=1.00000000000000000e+00
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+02	4.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+02	5.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

