# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d06-x01-y01
DrawOnly=/CMS_2021_I1932460/d06-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d06-x01-y01
YMax=12000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d06-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=3.8
XLabel=$\eta_{2}$
YLabel=d$\sigma$/d$\eta_{2}$ [pb]
YMin=20000
Legend=1
RatioPlotYMin=0.3
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-4.716000e+00	-3.489000e+00	5.889000e+04	1.484000e+04	1.773000e+04
-3.489000e+00	-2.964000e+00	1.514700e+05	2.923700e+04	3.826500e+04
-2.964000e+00	-2.500000e+00	2.310600e+05	4.272600e+04	5.479500e+04
-2.500000e+00	-1.930000e+00	3.451100e+05	7.091600e+04	8.912300e+04
-1.930000e+00	-1.566000e+00	4.075700e+05	8.231800e+04	1.012900e+05
-1.566000e+00	-1.131000e+00	4.410700e+05	8.405500e+04	1.149500e+05
-1.131000e+00	-7.830000e-01	5.075200e+05	9.898200e+04	1.257900e+05
-7.830000e-01	-2.610000e-01	5.260000e+05	9.796300e+04	1.339900e+05
-2.610000e-01	2.610000e-01	5.538700e+05	9.875200e+04	1.336000e+05
2.610000e-01	7.830000e-01	5.224200e+05	1.029400e+05	1.323200e+05
7.830000e-01	1.131000e+00	4.871000e+05	9.660200e+04	1.188700e+05
1.131000e+00	1.566000e+00	4.247100e+05	8.459100e+04	1.125200e+05
1.566000e+00	1.930000e+00	4.080400e+05	8.021100e+04	1.064000e+05
1.930000e+00	2.500000e+00	3.368800e+05	7.199300e+04	9.398600e+04
2.500000e+00	2.964000e+00	2.268900e+05	4.865400e+04	6.568800e+04
2.964000e+00	3.489000e+00	1.514600e+05	3.103800e+04	3.798500e+04
3.489000e+00	4.716000e+00	5.758700e+04	1.456600e+04	1.829200e+04
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d06-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d06-x01-y01
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-4.716000e+00	-3.489000e+00	3.319442e+04	6.060444e+03	6.060444e+03
-3.489000e+00	-2.964000e+00	1.370582e+05	1.882639e+04	1.882639e+04
-2.964000e+00	-2.500000e+00	1.492247e+05	2.089563e+04	2.089563e+04
-2.500000e+00	-1.930000e+00	1.834021e+05	2.090061e+04	2.090061e+04
-1.930000e+00	-1.566000e+00	3.282236e+05	3.498874e+04	3.498874e+04
-1.566000e+00	-1.131000e+00	3.433143e+05	3.273373e+04	3.273373e+04
-1.131000e+00	-7.830000e-01	3.511170e+05	3.701096e+04	3.701096e+04
-7.830000e-01	-2.610000e-01	3.251082e+05	2.907856e+04	2.907856e+04
-2.610000e-01	2.610000e-01	3.511169e+05	3.021933e+04	3.021933e+04
2.610000e-01	7.830000e-01	3.511169e+05	3.021933e+04	3.021933e+04
7.830000e-01	1.131000e+00	2.730909e+05	3.264060e+04	3.264060e+04
1.131000e+00	1.566000e+00	3.089828e+05	3.105394e+04	3.105394e+04
1.566000e+00	1.930000e+00	2.498974e+05	3.052983e+04	3.052983e+04
1.930000e+00	2.500000e+00	2.334209e+05	2.357906e+04	2.357906e+04
2.500000e+00	2.964000e+00	2.253000e+05	2.567531e+04	2.567531e+04
2.964000e+00	3.489000e+00	1.163702e+05	1.734744e+04	1.734744e+04
3.489000e+00	4.716000e+00	4.204626e+04	6.820805e+03	6.820805e+03
# END HISTO1D

