# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d11-x01-y01
DrawOnly=/CMS_2021_I1932460/d11-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d11-x01-y01
YMax=35
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d11-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.9
XLabel=$\Delta$Y
YLabel=dN/d$\Delta$Y [a.u.]
YMin=0.009
Legend=1
RatioPlotYMin=0.4
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	1.511400e-01	9.756300e-03	9.023800e-03
8.000000e-01	1.500000e+00	7.684300e-01	2.179000e-02	2.205000e-02
1.500000e+00	2.100000e+00	1.305900e+00	4.295600e-02	4.342300e-02
2.100000e+00	2.600000e+00	1.774500e+00	5.268100e-02	5.203500e-02
2.600000e+00	3.100000e+00	1.950300e+00	7.058700e-02	6.377600e-02
3.100000e+00	3.600000e+00	1.997600e+00	6.557500e-02	6.260700e-02
3.600000e+00	4.100000e+00	1.761500e+00	7.556900e-02	7.392100e-02
4.100000e+00	4.600000e+00	1.667500e+00	6.625700e-02	5.621800e-02
4.600000e+00	5.100000e+00	1.279400e+00	7.342500e-02	4.794700e-02
5.100000e+00	5.700000e+00	9.312100e-01	5.255200e-02	3.913900e-02
5.700000e+00	6.900000e+00	4.833700e-01	4.423300e-02	2.395200e-02
6.900000e+00	9.400000e+00	5.707400e-02	1.179300e-02	5.621700e-03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d11-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d11-x01-y01
ScaledBy=4.11334830937425292e-11
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	1.186658e-01	2.878067e-02	2.878067e-02
8.000000e-01	1.500000e+00	7.020226e-01	7.483586e-02	7.483586e-02
1.500000e+00	2.100000e+00	1.470525e+00	1.169887e-01	1.169887e-01
2.100000e+00	2.600000e+00	1.708787e+00	1.381472e-01	1.381472e-01
2.600000e+00	3.100000e+00	1.664113e+00	1.363294e-01	1.363294e-01
3.100000e+00	3.600000e+00	1.798135e+00	1.417129e-01	1.417129e-01
3.600000e+00	4.100000e+00	1.932158e+00	1.468992e-01	1.468992e-01
4.100000e+00	4.600000e+00	1.664113e+00	1.363294e-01	1.363294e-01
4.600000e+00	5.100000e+00	1.061011e+00	1.088575e-01	1.088575e-01
5.100000e+00	5.700000e+00	1.088933e+00	1.006719e-01	1.006719e-01
5.700000e+00	6.900000e+00	4.188203e-01	4.414754e-02	4.414754e-02
6.900000e+00	9.400000e+00	8.488092e-02	1.376950e-02	1.376950e-02
# END HISTO1D

