# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d12-x01-y01
DrawOnly=/CMS_2021_I1932460/d12-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d12-x01-y01
YMax=20
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d12-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=1.95
XLabel=$\phi_{\rm ij}$ [rad]
YLabel=dN/d$\phi_{\rm ij}$ [a.u.]
YMin=0.04
Legend=1
RatioPlotYMin=0.82
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	2.943400e-01	1.402800e-02	1.489200e-02
2.618000e-01	5.236000e-01	3.063300e-01	1.354400e-02	1.275000e-02
5.236000e-01	7.854000e-01	3.129600e-01	1.399100e-02	1.172300e-02
7.854000e-01	1.047200e+00	3.281900e-01	1.403600e-02	1.361500e-02
1.047200e+00	1.309000e+00	3.812400e-01	1.837500e-02	1.739200e-02
1.309000e+00	1.570800e+00	3.925700e-01	2.145600e-02	2.270300e-02
1.570800e+00	1.832600e+00	4.757100e-01	2.451100e-02	2.295500e-02
1.832600e+00	2.094400e+00	5.269300e-01	2.628400e-02	2.705500e-02
2.094400e+00	2.356200e+00	6.423500e-01	1.970600e-02	1.954700e-02
2.356200e+00	2.618000e+00	7.612900e-01	2.453300e-02	2.291200e-02
2.618000e+00	2.879800e+00	8.892200e-01	2.822700e-02	2.897000e-02
2.879800e+00	3.141600e+00	1.000000e+00	2.873900e-02	2.873900e-02
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d12-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d12-x01-y01
ScaledBy=9.05355285168237183e-12
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	3.661972e-01	4.146367e-02	4.146367e-02
2.618000e-01	5.236000e-01	3.990611e-01	4.328424e-02	4.328424e-02
5.236000e-01	7.854000e-01	4.178403e-01	4.429100e-02	4.429100e-02
7.854000e-01	1.047200e+00	4.366196e-01	4.527536e-02	4.527536e-02
1.047200e+00	1.309000e+00	4.366196e-01	4.527536e-02	4.527536e-02
1.309000e+00	1.570800e+00	4.319248e-01	4.503128e-02	4.503128e-02
1.570800e+00	1.832600e+00	4.647888e-01	4.671302e-02	4.671302e-02
1.832600e+00	2.094400e+00	4.929576e-01	4.810775e-02	4.810775e-02
2.094400e+00	2.356200e+00	5.258216e-01	4.968547e-02	4.968547e-02
2.356200e+00	2.618000e+00	6.572769e-01	5.555004e-02	5.555004e-02
2.618000e+00	2.879800e+00	8.873239e-01	6.454332e-02	6.454332e-02
2.879800e+00	3.141600e+00	1.000000e+00	6.851887e-02	6.851887e-02
# END HISTO1D

