# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d46-x01-y01
DrawOnly=/CMS_2021_I1932460/d46-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d46-x01-y01
YMax=150000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d46-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=3.2
XLabel=$\Delta\phi_{\rm 3j}^{\rm min}$ [rad]
YLabel=d$\sigma$/d$\Delta\phi_{\rm 3j}^{\rm min}$ [pb/rad]
YMin=8500
Legend=1
RatioPlotYMin=0.5
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d46-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d46-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	3.889800e+04	9.867800e+03	1.133500e+04
2.618000e-01	5.236000e-01	1.455100e+05	3.338800e+04	3.600100e+04
5.236000e-01	7.854000e-01	2.351800e+05	5.056200e+04	7.401000e+04
7.854000e-01	1.047200e+00	3.473600e+05	7.191600e+04	9.783800e+04
1.047200e+00	1.309000e+00	4.373700e+05	8.875300e+04	1.125100e+05
1.309000e+00	1.570800e+00	5.619900e+05	1.221000e+05	1.649300e+05
1.570800e+00	1.832600e+00	7.799900e+05	1.621600e+05	2.136800e+05
1.832600e+00	2.094400e+00	1.073300e+06	2.130200e+05	2.988700e+05
2.094400e+00	2.356200e+00	1.536500e+06	3.121300e+05	3.982200e+05
2.356200e+00	2.618000e+00	1.878100e+06	3.677000e+05	4.982200e+05
2.618000e+00	2.879800e+00	2.226800e+06	4.341000e+05	5.373800e+05
2.879800e+00	3.141600e+00	1.295800e+06	2.353700e+05	2.952100e+05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d46-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d46-x01-y01
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	1.555751e+04	8.982130e+03	8.982130e+03
2.618000e-01	5.236000e-01	1.089026e+05	2.376448e+04	2.376448e+04
5.236000e-01	7.854000e-01	2.385484e+05	3.517205e+04	3.517205e+04
7.854000e-01	1.047200e+00	2.074334e+05	3.279810e+04	3.279810e+04
1.047200e+00	1.309000e+00	2.126193e+05	3.320555e+04	3.320555e+04
1.309000e+00	1.570800e+00	3.889377e+05	4.491066e+04	4.491066e+04
1.570800e+00	1.832600e+00	5.237693e+05	5.211700e+04	5.211700e+04
1.832600e+00	2.094400e+00	7.571318e+05	6.266069e+04	6.266069e+04
2.094400e+00	2.356200e+00	1.109769e+06	7.586223e+04	7.586223e+04
2.356200e+00	2.618000e+00	1.208299e+06	7.915834e+04	7.915834e+04
2.618000e+00	2.879800e+00	1.581680e+06	9.056672e+04	9.056672e+04
2.879800e+00	3.141600e+00	8.452911e+05	6.620832e+04	6.620832e+04
# END HISTO1D

