# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d47-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d47-x01-y01
DrawOnly=/CMS_2021_I1932460/d47-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d47-x01-y01
YMax=21000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d47-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=4.9
XLabel=$\Delta$Y
YLabel=d$\sigma$/d$\Delta$Y [pb]
YMin=5000
Legend=1
RatioPlotYMin=0.3
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d47-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d47-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	5.264600e+04	9.039000e+03	1.299400e+04
8.000000e-01	1.500000e+00	2.679100e+05	4.950600e+04	6.382200e+04
1.500000e+00	2.100000e+00	4.557000e+05	8.477300e+04	1.111400e+05
2.100000e+00	2.600000e+00	6.182100e+05	1.153100e+05	1.506600e+05
2.600000e+00	3.100000e+00	6.797600e+05	1.360400e+05	1.737700e+05
3.100000e+00	3.600000e+00	6.944000e+05	1.307300e+05	1.699500e+05
3.600000e+00	4.100000e+00	6.111400e+05	1.240900e+05	1.726800e+05
4.100000e+00	4.600000e+00	5.797100e+05	1.171700e+05	1.516500e+05
4.600000e+00	5.100000e+00	4.401800e+05	9.137900e+04	1.138000e+05
5.100000e+00	5.700000e+00	3.216300e+05	6.742700e+04	8.710300e+04
5.700000e+00	6.900000e+00	1.638500e+05	3.684500e+04	4.758100e+04
6.900000e+00	9.400000e+00	1.831500e+04	5.029600e+03	6.336900e+03
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d47-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d47-x01-y01
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e-01	2.885010e+04	6.997177e+03	6.997177e+03
8.000000e-01	1.500000e+00	1.706763e+05	1.819415e+04	1.819415e+04
1.500000e+00	2.100000e+00	3.575150e+05	2.844236e+04	2.844236e+04
2.100000e+00	2.600000e+00	4.154414e+05	3.358645e+04	3.358645e+04
2.600000e+00	3.100000e+00	4.045802e+05	3.314450e+04	3.314450e+04
3.100000e+00	3.600000e+00	4.371638e+05	3.445334e+04	3.445334e+04
3.600000e+00	4.100000e+00	4.697474e+05	3.571424e+04	3.571424e+04
4.100000e+00	4.600000e+00	4.045802e+05	3.314450e+04	3.314450e+04
4.600000e+00	5.100000e+00	2.579538e+05	2.646550e+04	2.646550e+04
5.100000e+00	5.700000e+00	2.647420e+05	2.447541e+04	2.447541e+04
5.700000e+00	6.900000e+00	1.018239e+05	1.073318e+04	1.073318e+04
6.900000e+00	9.400000e+00	2.063630e+04	3.347651e+03	3.347651e+03
# END HISTO1D

