# BEGIN PLOT
LegendOnly=/CMS_2021_I1932460/d48-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d48-x01-y01
DrawOnly=/CMS_2021_I1932460/d48-x01-y01 //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d48-x01-y01
YMax=15000000
Title=CMS, 13 TeV, 4-jet production
RatioPlotReference=/CMS_2021_I1932460/d48-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=4.5
XLabel=$\phi_{\rm ij}$ [rad]
YLabel=d$\sigma$/d$\phi_{\rm ij}$ [pb/rad]
YMin=200000
Legend=1
RatioPlotYMin=0.3
# END PLOT

# BEGIN HISTO1D /CMS_2021_I1932460/d48-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2021_I1932460/d48-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	4.903200e+05	1.001200e+05	1.391200e+05
2.618000e-01	5.236000e-01	5.081700e+05	1.021900e+05	1.358900e+05
5.236000e-01	7.854000e-01	5.218400e+05	1.116700e+05	1.353300e+05
7.854000e-01	1.047200e+00	5.491900e+05	1.038700e+05	1.426700e+05
1.047200e+00	1.309000e+00	6.379100e+05	1.300400e+05	1.574800e+05
1.309000e+00	1.570800e+00	6.574000e+05	1.356200e+05	1.898400e+05
1.570800e+00	1.832600e+00	7.969700e+05	1.479100e+05	1.967500e+05
1.832600e+00	2.094400e+00	8.848000e+05	1.895800e+05	2.356100e+05
2.094400e+00	2.356200e+00	1.077400e+06	2.111100e+05	2.707900e+05
2.356200e+00	2.618000e+00	1.277100e+06	2.428000e+05	3.246700e+05
2.618000e+00	2.879800e+00	1.492100e+06	2.996600e+05	3.917600e+05
2.879800e+00	3.141600e+00	1.677100e+06	3.333000e+05	4.239100e+05
# END HISTO1D


# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d48-x01-y01
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/CMS_2021_I1932460/d48-x01-y01
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.618000e-01	4.044950e+05	4.580006e+04	4.580006e+04
2.618000e-01	5.236000e-01	4.407960e+05	4.781103e+04	4.781103e+04
5.236000e-01	7.854000e-01	4.615393e+05	4.892307e+04	4.892307e+04
7.854000e-01	1.047200e+00	4.822827e+05	5.001039e+04	5.001039e+04
1.047200e+00	1.309000e+00	4.822827e+05	5.001039e+04	5.001039e+04
1.309000e+00	1.570800e+00	4.770970e+05	4.974079e+04	4.974079e+04
1.570800e+00	1.832600e+00	5.133976e+05	5.159841e+04	5.159841e+04
1.832600e+00	2.094400e+00	5.445126e+05	5.313900e+04	5.313900e+04
2.094400e+00	2.356200e+00	5.808136e+05	5.488172e+04	5.488172e+04
2.356200e+00	2.618000e+00	7.260168e+05	6.135963e+04	6.135963e+04
2.618000e+00	2.879800e+00	9.801230e+05	7.129345e+04	7.129345e+04
2.879800e+00	3.141600e+00	1.104583e+06	7.568478e+04	7.568478e+04
# END HISTO1D

