# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_HT
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_HT
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_HT
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_HT
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	1.107089e+03	7.828306e+02	7.828306e+02
2.245265e+01	2.520608e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.520608e+01	2.829717e+01	4.392146e+02	4.392145e+02	4.392145e+02
2.829717e+01	3.176733e+01	7.824720e+02	5.532913e+02	5.532913e+02
3.176733e+01	3.566304e+01	1.742496e+03	7.792678e+02	7.792678e+02
3.566304e+01	4.003649e+01	2.793874e+03	9.312910e+02	9.312910e+02
4.003649e+01	4.494627e+01	1.659119e+03	6.773326e+02	6.773326e+02
4.494627e+01	5.045815e+01	5.665216e+03	1.181279e+03	1.181279e+03
5.045815e+01	5.664597e+01	5.046364e+03	1.052240e+03	1.052240e+03
5.664597e+01	6.359261e+01	1.583065e+04	1.758961e+03	1.758961e+03
6.359261e+01	7.139114e+01	4.926767e+04	2.928659e+03	2.928659e+03
7.139114e+01	8.014603e+01	1.204921e+05	4.322632e+03	4.322632e+03
8.014603e+01	8.997455e+01	2.016754e+05	5.278089e+03	5.278089e+03
8.997455e+01	1.010084e+02	2.635608e+05	5.694702e+03	5.694702e+03
1.010084e+02	1.133953e+02	2.217285e+05	4.929736e+03	4.929736e+03
1.133953e+02	1.273013e+02	1.695844e+05	4.068985e+03	4.068985e+03
1.273013e+02	1.429125e+02	1.330588e+05	3.401714e+03	3.401714e+03
1.429125e+02	1.604383e+02	9.140975e+04	2.661040e+03	2.661040e+03
1.604383e+02	1.801133e+02	6.438064e+04	2.107728e+03	2.107728e+03
1.801133e+02	2.022010e+02	3.823211e+04	1.532968e+03	1.532968e+03
2.022010e+02	2.269975e+02	1.982013e+04	1.041723e+03	1.041723e+03
2.269975e+02	2.548348e+02	1.258290e+04	7.833775e+02	7.833775e+02
2.548348e+02	2.860858e+02	6.864068e+03	5.460759e+02	5.460759e+02
2.860858e+02	3.211693e+02	4.179355e+03	4.021586e+02	4.021586e+02
3.211693e+02	3.605551e+02	2.344000e+03	2.842517e+02	2.842517e+02
3.605551e+02	4.047710e+02	1.228202e+03	1.941958e+02	1.941958e+02
4.047710e+02	4.544091e+02	6.017221e+02	1.282876e+02	1.282876e+02
4.544091e+02	5.101345e+02	2.679957e+02	8.080375e+01	8.080375e+01
5.101345e+02	5.726936e+02	1.736152e+02	6.138227e+01	6.138227e+01
5.726936e+02	6.429246e+02	1.353186e+02	5.114564e+01	5.114564e+01
6.429246e+02	7.217681e+02	3.443915e+01	2.435216e+01	2.435216e+01
7.217681e+02	8.102804e+02	3.067713e+01	2.169201e+01	2.169201e+01
8.102804e+02	9.096473e+02	2.732603e+01	1.932242e+01	1.932242e+01
9.096473e+02	1.021200e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.021200e+03	1.146432e+03	1.084109e+01	1.084109e+01	1.084109e+01
1.146432e+03	1.287022e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.287022e+03	1.444853e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.444853e+03	1.622039e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.622039e+03	1.820954e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.820954e+03	2.044263e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.044263e+03	2.294956e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.294956e+03	2.576392e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.576392e+03	2.892342e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.892342e+03	3.247038e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.247038e+03	3.645231e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.645231e+03	4.092255e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.092255e+03	4.594099e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.594099e+03	5.157486e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.157486e+03	5.789962e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.789962e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

