# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_1
Title=Pseudorapidity of leading jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_1
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.751781e+04	1.796005e+04	1.796005e+04
-4.800000e+00	-4.600000e+00	1.154004e+05	2.798871e+04	2.798871e+04
-4.600000e+00	-4.400000e+00	1.764947e+05	3.461346e+04	3.461346e+04
-4.400000e+00	-4.200000e+00	2.783186e+05	4.346606e+04	4.346606e+04
-4.200000e+00	-4.000000e+00	4.005072e+05	5.214161e+04	5.214161e+04
-4.000000e+00	-3.800000e+00	5.973670e+05	6.367951e+04	6.367951e+04
-3.800000e+00	-3.600000e+00	6.109435e+05	6.439907e+04	6.439907e+04
-3.600000e+00	-3.400000e+00	8.553205e+05	7.619802e+04	7.619802e+04
-3.400000e+00	-3.200000e+00	1.052180e+06	8.451314e+04	8.451314e+04
-3.200000e+00	-3.000000e+00	1.425534e+06	9.837121e+04	9.837121e+04
-3.000000e+00	-2.800000e+00	1.506993e+06	1.011428e+05	1.011428e+05
-2.800000e+00	-2.600000e+00	1.534147e+06	1.020499e+05	1.020499e+05
-2.600000e+00	-2.400000e+00	1.663123e+06	1.062530e+05	1.062530e+05
-2.400000e+00	-2.200000e+00	2.083996e+06	1.189399e+05	1.189399e+05
-2.200000e+00	-2.000000e+00	2.145089e+06	1.206707e+05	1.206707e+05
-2.000000e+00	-1.800000e+00	2.749245e+06	1.366111e+05	1.366111e+05
-1.800000e+00	-1.600000e+00	2.857857e+06	1.392834e+05	1.392834e+05
-1.600000e+00	-1.400000e+00	3.102234e+06	1.451164e+05	1.451164e+05
-1.400000e+00	-1.200000e+00	2.939316e+06	1.412545e+05	1.412545e+05
-1.200000e+00	-1.000000e+00	3.339823e+06	1.505709e+05	1.505709e+05
-1.000000e+00	-8.000000e-01	3.346612e+06	1.507238e+05	1.507238e+05
-8.000000e-01	-6.000000e-01	3.353399e+06	1.508766e+05	1.508766e+05
-6.000000e-01	-4.000000e-01	3.658872e+06	1.575987e+05	1.575987e+05
-4.000000e-01	-2.000000e-01	3.665660e+06	1.577449e+05	1.577449e+05
-2.000000e-01	0.000000e+00	3.686024e+06	1.581824e+05	1.581824e+05
0.000000e+00	2.000000e-01	3.760695e+06	1.597766e+05	1.597766e+05
2.000000e-01	4.000000e-01	3.468800e+06	1.534507e+05	1.534507e+05
4.000000e-01	6.000000e-01	3.611354e+06	1.565720e+05	1.565720e+05
6.000000e-01	8.000000e-01	3.448435e+06	1.529996e+05	1.529996e+05
8.000000e-01	1.000000e+00	3.394130e+06	1.517901e+05	1.517901e+05
1.000000e+00	1.200000e+00	3.224423e+06	1.479467e+05	1.479467e+05
1.200000e+00	1.400000e+00	2.986834e+06	1.423917e+05	1.423917e+05
1.400000e+00	1.600000e+00	2.898586e+06	1.402724e+05	1.402724e+05
1.600000e+00	1.800000e+00	2.783186e+06	1.374518e+05	1.374518e+05
1.800000e+00	2.000000e+00	2.654209e+06	1.342291e+05	1.342291e+05
2.000000e+00	2.200000e+00	2.294431e+06	1.248006e+05	1.248006e+05
2.200000e+00	2.400000e+00	2.314796e+06	1.253532e+05	1.253532e+05
2.400000e+00	2.600000e+00	1.859983e+06	1.123657e+05	1.123657e+05
2.600000e+00	2.800000e+00	1.771736e+06	1.096677e+05	1.096677e+05
2.800000e+00	3.000000e+00	1.540934e+06	1.022754e+05	1.022754e+05
3.000000e+00	3.200000e+00	1.194733e+06	9.005643e+04	9.005643e+04
3.200000e+00	3.400000e+00	9.639325e+05	8.089144e+04	8.089144e+04
3.400000e+00	3.600000e+00	8.078030e+05	7.405116e+04	7.405116e+04
3.600000e+00	3.800000e+00	7.874380e+05	7.311178e+04	7.311178e+04
3.800000e+00	4.000000e+00	4.819663e+05	5.719889e+04	5.719889e+04
4.000000e+00	4.200000e+00	3.258364e+05	4.703043e+04	4.703043e+04
4.200000e+00	4.400000e+00	2.511655e+05	4.129136e+04	4.129136e+04
4.400000e+00	4.600000e+00	1.629182e+05	3.325554e+04	3.325554e+04
4.600000e+00	4.800000e+00	7.467085e+04	2.251411e+04	2.251411e+04
4.800000e+00	5.000000e+00	2.036477e+04	1.175761e+04	1.175761e+04
# END HISTO1D

