# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_2
Title=Pseudorapidity of second jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_2
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_2
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.036477e+04	1.175761e+04	1.175761e+04
-4.800000e+00	-4.600000e+00	7.467085e+04	2.251411e+04	2.251411e+04
-4.600000e+00	-4.400000e+00	1.561300e+05	3.255535e+04	3.255535e+04
-4.400000e+00	-4.200000e+00	2.918951e+05	4.451359e+04	4.451359e+04
-4.200000e+00	-4.000000e+00	4.548133e+05	5.556429e+04	5.556429e+04
-4.000000e+00	-3.800000e+00	6.652495e+05	6.720033e+04	6.720033e+04
-3.800000e+00	-3.600000e+00	6.856140e+05	6.822115e+04	6.822115e+04
-3.600000e+00	-3.400000e+00	9.639325e+05	8.089144e+04	8.089144e+04
-3.400000e+00	-3.200000e+00	1.086122e+06	8.586543e+04	8.586543e+04
-3.200000e+00	-3.000000e+00	1.378016e+06	9.671780e+04	9.671780e+04
-3.000000e+00	-2.800000e+00	1.418746e+06	9.813672e+04	9.813672e+04
-2.800000e+00	-2.600000e+00	1.710641e+06	1.077603e+05	1.077603e+05
-2.600000e+00	-2.400000e+00	2.070419e+06	1.185518e+05	1.185518e+05
-2.400000e+00	-2.200000e+00	1.921077e+06	1.141962e+05	1.141962e+05
-2.200000e+00	-2.000000e+00	2.484502e+06	1.298670e+05	1.298670e+05
-2.000000e+00	-1.800000e+00	2.620268e+06	1.333681e+05	1.333681e+05
-1.800000e+00	-1.600000e+00	3.007199e+06	1.428763e+05	1.428763e+05
-1.600000e+00	-1.400000e+00	2.844280e+06	1.389522e+05	1.389522e+05
-1.400000e+00	-1.200000e+00	2.925740e+06	1.409279e+05	1.409279e+05
-1.200000e+00	-1.000000e+00	3.285517e+06	1.493417e+05	1.493417e+05
-1.000000e+00	-8.000000e-01	3.299094e+06	1.496499e+05	1.496499e+05
-8.000000e-01	-6.000000e-01	3.224423e+06	1.479467e+05	1.479467e+05
-6.000000e-01	-4.000000e-01	3.421283e+06	1.523960e+05	1.523960e+05
-4.000000e-01	-2.000000e-01	3.292305e+06	1.494959e+05	1.494959e+05
-2.000000e-01	0.000000e+00	3.326246e+06	1.502645e+05	1.502645e+05
0.000000e+00	2.000000e-01	3.482376e+06	1.537507e+05	1.537507e+05
2.000000e-01	4.000000e-01	3.414494e+06	1.522448e+05	1.522448e+05
4.000000e-01	6.000000e-01	3.312670e+06	1.499575e+05	1.499575e+05
6.000000e-01	8.000000e-01	3.692812e+06	1.583281e+05	1.583281e+05
8.000000e-01	1.000000e+00	3.020775e+06	1.431985e+05	1.431985e+05
1.000000e+00	1.200000e+00	3.292306e+06	1.494959e+05	1.494959e+05
1.200000e+00	1.400000e+00	3.115811e+06	1.454336e+05	1.454336e+05
1.400000e+00	1.600000e+00	2.837492e+06	1.387863e+05	1.387863e+05
1.600000e+00	1.800000e+00	2.756033e+06	1.367796e+05	1.367796e+05
1.800000e+00	2.000000e+00	2.681362e+06	1.349140e+05	1.349140e+05
2.000000e+00	2.200000e+00	2.443773e+06	1.287981e+05	1.287981e+05
2.200000e+00	2.400000e+00	2.117937e+06	1.199046e+05	1.199046e+05
2.400000e+00	2.600000e+00	2.036477e+06	1.175761e+05	1.175761e+05
2.600000e+00	2.800000e+00	1.819254e+06	1.111286e+05	1.111286e+05
2.800000e+00	3.000000e+00	1.656335e+06	1.060360e+05	1.060360e+05
3.000000e+00	3.200000e+00	1.405169e+06	9.766604e+04	9.766604e+04
3.200000e+00	3.400000e+00	9.164150e+05	7.887244e+04	7.887244e+04
3.400000e+00	3.600000e+00	9.299915e+05	7.945453e+04	7.945453e+04
3.600000e+00	3.800000e+00	7.331320e+05	7.054566e+04	7.054566e+04
3.800000e+00	4.000000e+00	6.584610e+05	6.685660e+04	6.685660e+04
4.000000e+00	4.200000e+00	3.597777e+05	4.941927e+04	4.941927e+04
4.200000e+00	4.400000e+00	2.511655e+05	4.129136e+04	4.129136e+04
4.400000e+00	4.600000e+00	1.629182e+05	3.325554e+04	3.325554e+04
4.600000e+00	4.800000e+00	8.145910e+04	2.351522e+04	2.351522e+04
4.800000e+00	5.000000e+00	2.715303e+04	1.357652e+04	1.357652e+04
# END HISTO1D

