# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~3})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_3
Title=Pseudorapidity of third jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_3
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_3
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	8.485322e+04	1.697065e+04	1.697065e+04
-4.600000e+00	-4.200000e+00	1.255828e+05	2.064568e+04	2.064568e+04
-4.200000e+00	-3.800000e+00	3.224422e+05	3.308188e+04	3.308188e+04
-3.800000e+00	-3.400000e+00	4.378428e+05	3.854989e+04	3.854989e+04
-3.400000e+00	-3.000000e+00	5.328783e+05	4.252832e+04	4.252832e+04
-3.000000e+00	-2.600000e+00	6.550670e+05	4.715275e+04	4.715275e+04
-2.600000e+00	-2.200000e+00	7.738615e+05	5.125023e+04	5.125023e+04
-2.200000e+00	-1.800000e+00	9.265972e+05	5.608022e+04	5.608022e+04
-1.800000e+00	-1.400000e+00	1.092909e+06	6.090547e+04	6.090547e+04
-1.400000e+00	-1.000000e+00	1.232069e+06	6.466685e+04	6.466685e+04
-1.000000e+00	-6.000000e-01	1.191339e+06	6.358899e+04	6.358899e+04
-6.000000e-01	-2.000000e-01	1.252434e+06	6.519909e+04	6.519909e+04
-2.000000e-01	2.000000e-01	1.320316e+06	6.694269e+04	6.694269e+04
2.000000e-01	6.000000e-01	1.415352e+06	6.931008e+04	6.931008e+04
6.000000e-01	1.000000e+00	1.266010e+06	6.555153e+04	6.555153e+04
1.000000e+00	1.400000e+00	1.299952e+06	6.642442e+04	6.642442e+04
1.400000e+00	1.800000e+00	1.065756e+06	6.014412e+04	6.014412e+04
1.800000e+00	2.200000e+00	1.096304e+06	6.099997e+04	6.099997e+04
2.200000e+00	2.600000e+00	8.078028e+05	5.236207e+04	5.236207e+04
2.600000e+00	3.000000e+00	7.738615e+05	5.125023e+04	5.125023e+04
3.000000e+00	3.400000e+00	6.007610e+05	4.515595e+04	4.515595e+04
3.400000e+00	3.800000e+00	4.853605e+05	4.058788e+04	4.058788e+04
3.800000e+00	4.200000e+00	2.579537e+05	2.958934e+04	2.958934e+04
4.200000e+00	4.600000e+00	1.798889e+05	2.470963e+04	2.470963e+04
4.600000e+00	5.000000e+00	6.109432e+04	1.440007e+04	1.440007e+04
# END HISTO1D

