# BEGIN PLOT
LegendXPos=0.30
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_4
Title=Pseudorapidity of fourth jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_4
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_4
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.072955e+04	1.175761e+04	1.175761e+04
-4.600000e+00	-4.200000e+00	7.467085e+04	1.591988e+04	1.591988e+04
-4.200000e+00	-3.800000e+00	1.221886e+05	2.036478e+04	2.036478e+04
-3.800000e+00	-3.400000e+00	1.086121e+05	1.920009e+04	1.920009e+04
-3.400000e+00	-3.000000e+00	1.493417e+05	2.251411e+04	2.251411e+04
-3.000000e+00	-2.600000e+00	1.798889e+05	2.470963e+04	2.470963e+04
-2.600000e+00	-2.200000e+00	2.002536e+05	2.607081e+04	2.607081e+04
-2.200000e+00	-1.800000e+00	2.783185e+05	3.073515e+04	3.073515e+04
-1.800000e+00	-1.400000e+00	2.952892e+05	3.165833e+04	3.165833e+04
-1.400000e+00	-1.000000e+00	3.529895e+05	3.461346e+04	3.461346e+04
-1.000000e+00	-6.000000e-01	4.514192e+05	3.914301e+04	3.914301e+04
-6.000000e-01	-2.000000e-01	4.140838e+05	3.748938e+04	3.748938e+04
-2.000000e-01	2.000000e-01	4.378428e+05	3.854989e+04	3.854989e+04
2.000000e-01	6.000000e-01	3.971130e+05	3.671312e+04	3.671312e+04
6.000000e-01	1.000000e+00	4.480250e+05	3.899558e+04	3.899558e+04
1.000000e+00	1.400000e+00	3.801425e+05	3.592008e+04	3.592008e+04
1.400000e+00	1.800000e+00	3.529895e+05	3.461346e+04	3.461346e+04
1.800000e+00	2.200000e+00	3.020775e+05	3.202015e+04	3.202015e+04
2.200000e+00	2.600000e+00	2.443773e+05	2.880014e+04	2.880014e+04
2.600000e+00	3.000000e+00	2.036478e+05	2.629081e+04	2.629081e+04
3.000000e+00	3.400000e+00	2.240125e+05	2.757404e+04	2.757404e+04
3.400000e+00	3.800000e+00	1.154004e+05	1.979100e+04	1.979100e+04
3.800000e+00	4.200000e+00	9.503562e+04	1.796004e+04	1.796004e+04
4.200000e+00	4.600000e+00	6.109433e+04	1.440007e+04	1.440007e+04
4.600000e+00	5.000000e+00	5.430607e+04	1.357652e+04	1.357652e+04
# END HISTO1D

