# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_1
Title=Pseudorapidity $+/-$ ratio of first jet
LogY=1
XLabel=$|\eta(\mathrm{jet~1}|$
YLabel=$\eta(\mathrm{jet~1})_+/\eta(\mathrm{jet~1})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_1
ErrorBreakdown={0: {"": {up: 0.06161102751341028, dn: 0.06161102751341028}}, 1: {"": {up: 0.0584011189752069, dn: 0.0584011189752069}}, 2: {"": {up: 0.06032084320793218, dn: 0.06032084320793218}}, 3: {"": {up: 0.06497933964871538, dn: 0.06497933964871538}}, 4: {"": {up: 0.06437085053204593, dn: 0.06437085053204593}}, 5: {"": {up: 0.06210297249063242, dn: 0.06210297249063242}}, 6: {"": {up: 0.06878624711371685, dn: 0.06878624711371685}}, 7: {"": {up: 0.06288770845709656, dn: 0.06288770845709656}}, 8: {"": {up: 0.06757239257249835, dn: 0.06757239257249835}}, 9: {"": {up: 0.06844825451321833, dn: 0.06844825451321833}}, 10: {"": {up: 0.08369829292045702, dn: 0.08369829292045702}}, 11: {"": {up: 0.08738907234082895, dn: 0.08738907234082895}}, 12: {"": {up: 0.09833538756470434, dn: 0.09833538756470434}}, 13: {"": {up: 0.1049354128599057, dn: 0.1049354128599057}}, 14: {"": {up: 0.09651762737729355, dn: 0.09651762737729355}}, 15: {"": {up: 0.08564875297825, dn: 0.08564875297825}}, 16: {"": {up: 0.1064203908427498, dn: 0.1064203908427498}}, 17: {"": {up: 0.1207259704667157, dn: 0.1207259704667157}}, 18: {"": {up: 0.1810501298532819, dn: 0.1810501298532819}}, 19: {"": {up: 0.1287074625375214, dn: 0.1287074625375214}}, 20: {"": {up: 0.158137362114861, dn: 0.158137362114861}}, 21: {"": {up: 0.2046314484290291, dn: 0.2046314484290291}}, 22: {"": {up: 0.2612947001872144, dn: 0.2612947001872144}}, 23: {"": {up: 0.2503813496903189, dn: 0.2503813496903189}}, 24: {"": {up: 0.2957423825752947, dn: 0.2957423825752947}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_1
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.020258e+00	6.161103e-02	6.161103e-02
2.000000e-01	4.000000e-01	9.462963e-01	5.840112e-02	5.840112e-02
4.000000e-01	6.000000e-01	9.870130e-01	6.032084e-02	6.032084e-02
6.000000e-01	8.000000e-01	1.028340e+00	6.497934e-02	6.497934e-02
8.000000e-01	1.000000e+00	1.014199e+00	6.437085e-02	6.437085e-02
1.000000e+00	1.200000e+00	9.654472e-01	6.210297e-02	6.210297e-02
1.200000e+00	1.400000e+00	1.016166e+00	6.878625e-02	6.878625e-02
1.400000e+00	1.600000e+00	9.343545e-01	6.288771e-02	6.288771e-02
1.600000e+00	1.800000e+00	9.738717e-01	6.757239e-02	6.757239e-02
1.800000e+00	2.000000e+00	9.654321e-01	6.844825e-02	6.844825e-02
2.000000e+00	2.200000e+00	1.069620e+00	8.369829e-02	8.369829e-02
2.200000e+00	2.400000e+00	1.110749e+00	8.738907e-02	8.738907e-02
2.400000e+00	2.600000e+00	1.118367e+00	9.833539e-02	9.833539e-02
2.600000e+00	2.800000e+00	1.154867e+00	1.049354e-01	1.049354e-01
2.800000e+00	3.000000e+00	1.022523e+00	9.651763e-02	9.651763e-02
3.000000e+00	3.200000e+00	8.380952e-01	8.564875e-02	8.564875e-02
3.200000e+00	3.400000e+00	9.161290e-01	1.064204e-01	1.064204e-01
3.400000e+00	3.600000e+00	9.444444e-01	1.207260e-01	1.207260e-01
3.600000e+00	3.800000e+00	1.288889e+00	1.810501e-01	1.810501e-01
3.800000e+00	4.000000e+00	8.068182e-01	1.287075e-01	1.287075e-01
4.000000e+00	4.200000e+00	8.135593e-01	1.581374e-01	1.581374e-01
4.200000e+00	4.400000e+00	9.024390e-01	2.046314e-01	2.046314e-01
4.400000e+00	4.600000e+00	9.230769e-01	2.612947e-01	2.612947e-01
4.600000e+00	4.800000e+00	6.470588e-01	2.503813e-01	2.503813e-01
4.800000e+00	5.000000e+00	4.285714e-01	2.957424e-01	2.957424e-01
# END HISTO1D

