# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_2
Title=Pseudorapidity $+/-$ ratio of second jet
LogY=1
XLabel=$|\eta(\mathrm{jet~2}|$
YLabel=$\eta(\mathrm{jet~2})_+/\eta(\mathrm{jet~2})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_2
ErrorBreakdown={0: {"": {up: 0.06613251346422527, dn: 0.06613251346422527}}, 1: {"": {up: 0.06600089988137182, dn: 0.06600089988137182}}, 2: {"": {up: 0.06149218745211361, dn: 0.06149218745211361}}, 3: {"": {up: 0.07191941189862244, dn: 0.07191941189862244}}, 4: {"": {up: 0.06007592163149277, dn: 0.06007592163149277}}, 5: {"": {up: 0.06438203730196743, dn: 0.06438203730196743}}, 6: {"": {up: 0.07143078795246169, dn: 0.07143078795246169}}, 7: {"": {up: 0.06896517386640223, dn: 0.06896517386640223}}, 8: {"": {up: 0.06296674921801171, dn: 0.06296674921801171}}, 9: {"": {up: 0.07323911836774602, dn: 0.07323911836774602}}, 10: {"": {up: 0.07301261993416452, dn: 0.07301261993416452}}, 11: {"": {up: 0.09050157276691659, dn: 0.09050157276691659}}, 12: {"": {up: 0.07998131784098653, dn: 0.07998131784098653}}, 13: {"": {up: 0.09331860922553639, dn: 0.09331860922553639}}, 14: {"": {up: 0.1100334132430901, dn: 0.1100334132430901}}, 15: {"": {up: 0.1007240185226448, dn: 0.1007240185226448}}, 16: {"": {up: 0.09860476859982478, dn: 0.09860476859982478}}, 17: {"": {up: 0.1155393363461392, dn: 0.1155393363461392}}, 18: {"": {up: 0.1480140561535382, dn: 0.1480140561535382}}, 19: {"": {up: 0.1417633799747932, dn: 0.1417633799747932}}, 20: {"": {up: 0.1454173927650508, dn: 0.1454173927650508}}, 21: {"": {up: 0.1929492843723944, dn: 0.1929492843723944}}, 22: {"": {up: 0.3044828218026598, dn: 0.3044828218026598}}, 23: {"": {up: 0.4553711508745757, dn: 0.4553711508745757}}, 24: {"": {up: 1.018350154434631, dn: 1.018350154434631}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_2
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.046939e+00	6.613251e-02	6.613251e-02
2.000000e-01	4.000000e-01	1.037113e+00	6.600090e-02	6.600090e-02
4.000000e-01	6.000000e-01	9.682540e-01	6.149219e-02	6.149219e-02
6.000000e-01	8.000000e-01	1.145263e+00	7.191941e-02	7.191941e-02
8.000000e-01	1.000000e+00	9.156379e-01	6.007592e-02	6.007592e-02
1.000000e+00	1.200000e+00	1.002066e+00	6.438204e-02	6.438204e-02
1.200000e+00	1.400000e+00	1.064965e+00	7.143079e-02	7.143079e-02
1.400000e+00	1.600000e+00	9.976134e-01	6.896517e-02	6.896517e-02
1.600000e+00	1.800000e+00	9.164786e-01	6.296675e-02	6.296675e-02
1.800000e+00	2.000000e+00	1.023316e+00	7.323912e-02	7.323912e-02
2.000000e+00	2.200000e+00	9.836066e-01	7.301262e-02	7.301262e-02
2.200000e+00	2.400000e+00	1.102473e+00	9.050157e-02	9.050157e-02
2.400000e+00	2.600000e+00	9.836066e-01	7.998132e-02	7.998132e-02
2.600000e+00	2.800000e+00	1.063492e+00	9.331861e-02	9.331861e-02
2.800000e+00	3.000000e+00	1.167464e+00	1.100334e-01	1.100334e-01
3.000000e+00	3.200000e+00	1.019704e+00	1.007240e-01	1.007240e-01
3.200000e+00	3.400000e+00	8.437500e-01	9.860477e-02	9.860477e-02
3.400000e+00	3.600000e+00	9.647887e-01	1.155393e-01	1.155393e-01
3.600000e+00	3.800000e+00	1.069307e+00	1.480141e-01	1.480141e-01
3.800000e+00	4.000000e+00	9.897959e-01	1.417634e-01	1.417634e-01
4.000000e+00	4.200000e+00	7.910448e-01	1.454174e-01	1.454174e-01
4.200000e+00	4.400000e+00	8.604651e-01	1.929493e-01	1.929493e-01
4.400000e+00	4.600000e+00	1.043478e+00	3.044828e-01	3.044828e-01
4.600000e+00	4.800000e+00	1.090909e+00	4.553712e-01	4.553712e-01
4.800000e+00	5.000000e+00	1.333333e+00	1.018350e+00	1.018350e+00
# END HISTO1D

