# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_3
Title=Pseudorapidity $+/-$ ratio of third jet
LogY=1
XLabel=$|\eta(\mathrm{jet~3}|$
YLabel=$\eta(\mathrm{jet~3})_+/\eta(\mathrm{jet~3})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_3
ErrorBreakdown={0: {"": {up: 0.08122566838963033, dn: 0.08122566838963033}}, 1: {"": {up: 0.08528046453206216, dn: 0.08528046453206216}}, 2: {"": {up: 0.08886994821317722, dn: 0.08886994821317722}}, 3: {"": {up: 0.07967905014840979, dn: 0.07967905014840979}}, 4: {"": {up: 0.09389185985693131, dn: 0.09389185985693131}}, 5: {"": {up: 0.08952131165666027, dn: 0.08952131165666027}}, 6: {"": {up: 0.1149070478836432, dn: 0.1149070478836432}}, 7: {"": {up: 0.1038120195994931, dn: 0.1038120195994931}}, 8: {"": {up: 0.1305245063184099, dn: 0.1305245063184099}}, 9: {"": {up: 0.1303574923115248, dn: 0.1303574923115248}}, 10: {"": {up: 0.1505260795631252, dn: 0.1505260795631252}}, 11: {"": {up: 0.1254541247838453, dn: 0.1254541247838453}}, 12: {"": {up: 0.1859900923730369, dn: 0.1859900923730369}}, 13: {"": {up: 0.4128295541028292, dn: 0.4128295541028292}}, 14: {"": {up: 0.2462726955223587, dn: 0.2462726955223587}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_3
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.034483e+00	8.122567e-02	8.122567e-02
3.333333e-01	6.666667e-01	1.089457e+00	8.528046e-02	8.528046e-02
6.666666e-01	1.000000e+00	1.083916e+00	8.886995e-02	8.886995e-02
1.000000e+00	1.333334e+00	9.935897e-01	7.967905e-02	7.967905e-02
1.333333e+00	1.666667e+00	1.102662e+00	9.389186e-02	9.389186e-02
1.666666e+00	2.000000e+00	1.011811e+00	8.952131e-02	8.952131e-02
2.000000e+00	2.333334e+00	1.211823e+00	1.149070e-01	1.149070e-01
2.333333e+00	2.666667e+00	1.015789e+00	1.038120e-01	1.038120e-01
2.666666e+00	3.000000e+00	1.210191e+00	1.305245e-01	1.305245e-01
3.000000e+00	3.333334e+00	1.121429e+00	1.303575e-01	1.303575e-01
3.333333e+00	3.666667e+00	1.169643e+00	1.505261e-01	1.505261e-01
3.666666e+00	4.000000e+00	8.210526e-01	1.254541e-01	1.254541e-01
4.000000e+00	4.333334e+00	9.433962e-01	1.859901e-01	1.859901e-01
4.333333e+00	4.666667e+00	1.583333e+00	4.128296e-01	4.128296e-01
4.666666e+00	5.000000e+00	6.842105e-01	2.462727e-01	2.462727e-01
# END HISTO1D

