# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_4
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_4
Title=Pseudorapidity $+/-$ ratio of fourth jet
LogY=1
XLabel=$|\eta(\mathrm{jet~4}|$
YLabel=$\eta(\mathrm{jet~4})_+/\eta(\mathrm{jet~4})_-$
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_4
ErrorBreakdown={0: {"": {up: 0.1161265260722088, dn: 0.1161265260722088}}, 1: {"": {up: 0.1232743723877828, dn: 0.1232743723877828}}, 2: {"": {up: 0.1516139137617449, dn: 0.1516139137617449}}, 3: {"": {up: 0.1522414109013299, dn: 0.1522414109013299}}, 4: {"": {up: 0.1837155613245853, dn: 0.1837155613245853}}, 5: {"": {up: 0.2015106797177292, dn: 0.2015106797177292}}, 6: {"": {up: 0.2024264429359582, dn: 0.2024264429359582}}, 7: {"": {up: 0.2415947019286639, dn: 0.2415947019286639}}, 8: {"": {up: 0.2153018680514758, dn: 0.2153018680514758}}, 9: {"": {up: 0.3079661284350189, dn: 0.3079661284350189}}, 10: {"": {up: 0.3246076344512759, dn: 0.3246076344512759}}, 11: {"": {up: 0.1834939608543935, dn: 0.1834939608543935}}, 12: {"": {up: 0.2948839123097942, dn: 0.2948839123097942}}, 13: {"": {up: 0.3284080569228653, dn: 0.3284080569228653}}, 14: {"": {up: 0.5879447357921312, dn: 0.5879447357921312}}}
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_eta_pmratio_4
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	8.318584e-01	1.161265e-01	1.161265e-01
3.333333e-01	6.666667e-01	8.807339e-01	1.232744e-01	1.232744e-01
6.666666e-01	1.000000e+00	1.125000e+00	1.516139e-01	1.516139e-01
1.000000e+00	1.333334e+00	1.043478e+00	1.522414e-01	1.522414e-01
1.333333e+00	1.666667e+00	1.126761e+00	1.837156e-01	1.837156e-01
1.666666e+00	2.000000e+00	1.235294e+00	2.015107e-01	2.015107e-01
2.000000e+00	2.333334e+00	1.120690e+00	2.024264e-01	2.024264e-01
2.333333e+00	2.666667e+00	1.280000e+00	2.415947e-01	2.415947e-01
2.666666e+00	3.000000e+00	1.043478e+00	2.153019e-01	2.153019e-01
3.000000e+00	3.333334e+00	1.487179e+00	3.079661e-01	3.079661e-01
3.333333e+00	3.666667e+00	1.259259e+00	3.246076e-01	3.246076e-01
3.666666e+00	4.000000e+00	6.666667e-01	1.834940e-01	1.834940e-01
4.000000e+00	4.333334e+00	1.000000e+00	2.948839e-01	2.948839e-01
4.333333e+00	4.666667e+00	8.666667e-01	3.284081e-01	3.284081e-01
4.666666e+00	5.000000e+00	1.333333e+00	5.879447e-01	5.879447e-01
# END HISTO1D

