# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_1
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_1
Title=Mass of first jet
LogY=1
XLabel=$m(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_1
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	2.751124e+04	2.751123e+04	2.751123e+04
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.659587e+00	1.817619e+04	1.817618e+04	1.817618e+04
1.659587e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.819701e+00	1.657695e+04	1.657694e+04	1.657694e+04
1.819701e+00	1.905461e+00	3.166165e+04	2.238817e+04	2.238817e+04
1.905461e+00	1.995262e+00	1.511845e+04	1.511845e+04	1.511845e+04
1.995262e+00	2.089296e+00	7.218941e+04	3.228408e+04	3.228408e+04
2.089296e+00	2.187762e+00	4.136407e+04	2.388156e+04	2.388156e+04
2.187762e+00	2.290868e+00	2.633506e+04	1.862170e+04	1.862170e+04
2.290868e+00	2.398833e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e+00	2.511886e+00	4.803594e+04	2.401797e+04	2.401797e+04
2.511886e+00	2.630268e+00	1.146840e+04	1.146840e+04	1.146840e+04
2.630268e+00	2.754229e+00	4.380900e+04	2.190450e+04	2.190450e+04
2.754229e+00	2.884032e+00	1.045933e+05	3.307529e+04	3.307529e+04
2.884032e+00	3.019952e+00	7.990884e+04	2.825206e+04	2.825206e+04
3.019952e+00	3.162278e+00	6.677320e+04	2.523790e+04	2.523790e+04
3.162278e+00	3.311311e+00	1.002071e+05	3.021359e+04	3.021359e+04
3.311311e+00	3.467369e+00	1.478942e+05	3.586962e+04	3.586962e+04
3.467369e+00	3.630781e+00	1.329304e+05	3.323261e+04	3.323261e+04
3.630781e+00	3.801894e+00	3.253039e+05	5.080393e+04	5.080393e+04
3.801894e+00	3.981072e+00	3.182387e+05	4.910529e+04	4.910529e+04
3.981072e+00	4.168694e+00	3.979855e+05	5.366436e+04	5.366436e+04
4.168694e+00	4.365158e+00	3.455218e+05	4.886416e+04	4.886416e+04
4.365158e+00	4.570882e+00	3.959630e+05	5.111861e+04	5.111861e+04
4.570882e+00	4.786301e+00	5.293994e+05	5.776223e+04	5.776223e+04
4.786301e+00	5.011872e+00	7.282669e+05	6.620607e+04	6.620607e+04
5.011872e+00	5.248075e+00	7.931986e+05	6.752156e+04	6.752156e+04
5.248075e+00	5.495409e+00	7.959258e+05	6.609803e+04	6.609803e+04
5.495409e+00	5.754399e+00	1.011726e+06	7.282559e+04	7.282559e+04
5.754399e+00	6.025596e+00	1.051291e+06	7.254594e+04	7.254594e+04
6.025596e+00	6.309573e+00	1.243021e+06	7.708890e+04	7.708890e+04
6.309573e+00	6.606934e+00	1.629944e+06	8.626576e+04	8.626576e+04
6.606934e+00	6.918310e+00	1.578381e+06	8.295786e+04	8.295786e+04
6.918310e+00	7.244360e+00	1.798821e+06	8.654581e+04	8.654581e+04
7.244360e+00	7.585776e+00	1.821252e+06	8.510150e+04	8.510150e+04
7.585776e+00	7.943282e+00	1.997518e+06	8.709594e+04	8.709594e+04
7.943282e+00	8.317638e+00	2.382698e+06	9.295788e+04	9.295788e+04
8.317638e+00	8.709636e+00	2.168098e+06	8.665463e+04	8.665463e+04
8.709636e+00	9.120108e+00	2.067211e+06	8.268844e+04	8.268844e+04
9.120108e+00	9.549926e+00	2.084720e+06	8.114761e+04	8.114761e+04
9.549926e+00	1.000000e+01	2.165853e+06	8.082891e+04	8.082891e+04
1.000000e+01	1.047129e+01	2.137491e+06	7.846972e+04	7.846972e+04
1.047129e+01	1.096478e+01	2.110112e+06	7.619170e+04	7.619170e+04
1.096478e+01	1.148154e+01	1.933648e+06	7.127520e+04	7.127520e+04
1.148154e+01	1.202264e+01	1.701142e+06	6.533196e+04	6.533196e+04
1.202264e+01	1.258925e+01	1.526313e+06	6.047472e+04	6.047472e+04
1.258925e+01	1.318257e+01	1.400396e+06	5.660766e+04	5.660766e+04
1.318257e+01	1.380384e+01	1.118866e+06	4.944734e+04	4.944734e+04
1.380384e+01	1.445440e+01	9.224085e+05	4.387450e+04	4.387450e+04
1.445440e+01	1.513561e+01	7.234591e+05	3.797176e+04	3.797176e+04
1.513561e+01	1.584893e+01	6.337941e+05	3.473170e+04	3.473170e+04
1.584893e+01	1.659587e+01	4.562222e+05	2.879649e+04	2.879649e+04
1.659587e+01	1.737801e+01	3.801438e+05	2.568774e+04	2.568774e+04
1.737801e+01	1.819701e+01	2.834657e+05	2.167717e+04	2.167717e+04
1.819701e+01	1.905461e+01	1.852206e+05	1.712366e+04	1.712366e+04
1.905461e+01	1.995262e+01	1.557200e+05	1.534355e+04	1.534355e+04
