# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_2
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_2
Title=Mass of second jet
LogY=1
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_2
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	1.283395e+04	1.283394e+04	1.283394e+04
1.202264e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	9.735552e+03	9.735550e+03	9.735550e+03
1.584893e+00	1.737801e+00	8.878881e+03	8.878879e+03	8.878879e+03
1.737801e+00	1.905461e+00	8.097650e+03	8.097648e+03	8.097648e+03
1.905461e+00	2.089296e+00	4.431099e+04	1.808989e+04	1.808989e+04
2.089296e+00	2.290868e+00	2.694128e+04	1.347064e+04	1.347064e+04
2.290868e+00	2.511886e+00	6.756993e+04	2.037310e+04	2.037310e+04
2.511886e+00	2.754229e+00	9.523725e+04	2.309842e+04	2.309842e+04
2.754229e+00	3.019952e+00	1.226226e+05	2.503023e+04	2.503023e+04
3.019952e+00	3.311311e+00	2.283263e+05	3.261805e+04	3.261805e+04
3.311311e+00	3.630781e+00	3.272270e+05	3.729097e+04	3.729097e+04
3.630781e+00	3.981072e+00	4.379633e+05	4.120014e+04	4.120014e+04
3.981072e+00	4.365158e+00	5.443531e+05	4.386521e+04	4.386521e+04
4.365158e+00	4.786301e+00	9.542243e+05	5.546317e+04	5.546317e+04
4.786301e+00	5.248075e+00	1.117230e+06	5.731268e+04	5.731268e+04
5.248075e+00	5.754399e+00	1.555206e+06	6.457642e+04	6.457642e+04
5.754399e+00	6.309573e+00	1.897672e+06	6.812242e+04	6.812242e+04
6.309573e+00	6.918310e+00	2.114302e+06	6.866934e+04	6.866934e+04
6.918310e+00	7.585776e+00	2.459153e+06	7.072491e+04	7.072491e+04
7.585776e+00	8.317638e+00	2.637903e+06	6.995342e+04	6.995342e+04
8.317638e+00	9.120108e+00	2.644348e+06	6.688659e+04	6.688659e+04
9.120108e+00	1.000000e+01	2.403955e+06	6.090357e+04	6.090357e+04
1.000000e+01	1.096478e+01	1.920847e+06	5.199079e+04	5.199079e+04
1.096478e+01	1.202264e+01	1.373232e+06	4.198093e+04	4.198093e+04
1.202264e+01	1.318257e+01	9.796746e+05	3.386253e+04	3.386253e+04
1.318257e+01	1.445440e+01	5.935182e+05	2.517078e+04	2.517078e+04
1.445440e+01	1.584893e+01	3.232203e+05	1.773902e+04	1.773902e+04
1.584893e+01	1.737801e+01	1.758018e+05	1.249369e+04	1.249369e+04
1.737801e+01	1.905461e+01	9.879130e+04	8.944145e+03	8.944145e+03
1.905461e+01	2.089296e+01	5.317318e+04	6.266520e+03	6.266520e+03
2.089296e+01	2.290868e+01	2.290009e+04	3.927332e+03	3.927332e+03
2.290868e+01	2.511886e+01	1.412826e+04	2.945945e+03	2.945945e+03
2.511886e+01	2.754229e+01	5.041974e+03	1.680657e+03	1.680657e+03
2.754229e+01	3.019952e+01	3.065565e+03	1.251512e+03	1.251512e+03
3.019952e+01	3.311311e+01	3.727776e+03	1.317968e+03	1.317968e+03
3.311311e+01	3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.365158e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.248075e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.309573e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	7.585776e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	9.120108e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

