# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_3
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_3
Title=Mass of third jet
LogY=1
XLabel=$m(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_3
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	9.065700e+03	9.065697e+03	9.065697e+03
1.149757e+00	1.321941e+00	2.365467e+04	1.365703e+04	1.365703e+04
1.321941e+00	1.519911e+00	2.057360e+04	1.187817e+04	1.187817e+04
1.519911e+00	1.747528e+00	4.175243e+04	1.578094e+04	1.578094e+04
1.747528e+00	2.009233e+00	2.075087e+04	1.037544e+04	1.037544e+04
2.009233e+00	2.310130e+00	9.926433e+04	2.116323e+04	2.116323e+04
2.310130e+00	2.656088e+00	1.805190e+05	2.661607e+04	2.661607e+04
2.656088e+00	3.053856e+00	3.140122e+05	3.273803e+04	3.273803e+04
3.053856e+00	3.511192e+00	4.838832e+05	3.790066e+04	3.790066e+04
3.511192e+00	4.037017e+00	7.074532e+05	4.273881e+04	4.273881e+04
4.037017e+00	4.641589e+00	1.062188e+06	4.883947e+04	4.883947e+04
4.641589e+00	5.336699e+00	1.332046e+06	5.100668e+04	5.100668e+04
5.336699e+00	6.135907e+00	1.420152e+06	4.911698e+04	4.911698e+04
6.135907e+00	7.054802e+00	1.369627e+06	4.498444e+04	4.498444e+04
7.054802e+00	8.111308e+00	1.022891e+06	3.625542e+04	3.625542e+04
8.111308e+00	9.326033e+00	7.175389e+05	2.831900e+04	2.831900e+04
9.326033e+00	1.072267e+01	3.645324e+05	1.882437e+04	1.882437e+04
1.072267e+01	1.232847e+01	1.547206e+05	1.143727e+04	1.143727e+04
1.232847e+01	1.417474e+01	7.647625e+04	7.499112e+03	7.499112e+03
1.417474e+01	1.629751e+01	2.686177e+04	4.144862e+03	4.144862e+03
1.629751e+01	1.873817e+01	7.231433e+03	2.005639e+03	2.005639e+03
1.873817e+01	2.154435e+01	2.419039e+03	1.081827e+03	1.081827e+03
2.154435e+01	2.477076e+01	4.207934e+02	4.207933e+02	4.207933e+02
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.764936e+01	4.328761e+01	2.407932e+02	2.407931e+02	2.407931e+02
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

