# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_4
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_4
Title=Mass of fourth jet
LogY=1
XLabel=$m(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
Legend=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_mass_4
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.445440e+00	5.583002e+03	5.583000e+03	5.583000e+03
1.445440e+00	1.737801e+00	1.857500e+04	9.287502e+03	9.287502e+03
1.737801e+00	2.089296e+00	2.317504e+04	9.461170e+03	9.461170e+03
2.089296e+00	2.511886e+00	3.533962e+04	1.065530e+04	1.065530e+04
2.511886e+00	3.019952e+00	1.068878e+05	1.690045e+04	1.690045e+04
3.019952e+00	3.630781e+00	1.822562e+05	2.012684e+04	2.012684e+04
3.630781e+00	4.365158e+00	3.124323e+05	2.403326e+04	2.403326e+04
4.365158e+00	5.248075e+00	4.074876e+05	2.503176e+04	2.503176e+04
5.248075e+00	6.309573e+00	5.103194e+05	2.554792e+04	2.554792e+04
6.309573e+00	7.585776e+00	4.287199e+05	2.135606e+04	2.135606e+04
7.585776e+00	9.120108e+00	2.088243e+05	1.359330e+04	1.359330e+04
9.120108e+00	1.096478e+01	8.684628e+04	7.994847e+03	7.994847e+03
1.096478e+01	1.318257e+01	1.836493e+04	3.352961e+03	3.352961e+03
1.318257e+01	1.584893e+01	4.073422e+03	1.440173e+03	1.440173e+03
1.584893e+01	1.905461e+01	1.694058e+03	8.470289e+02	8.470289e+02
1.905461e+01	2.290868e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+01	2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

