# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_2
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_2
Title=Transverse momentum of second jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_2
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_2
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113566e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113566e+01	1.240029e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240029e+01	1.380853e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380853e+01	1.537671e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537671e+01	1.712297e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.712297e+01	1.906756e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906756e+01	2.123298e+01	2.695968e+04	4.111312e+03	4.111312e+03
2.123298e+01	2.364431e+01	8.783273e+04	7.032245e+03	7.032245e+03
2.364431e+01	2.632950e+01	1.456149e+05	8.580440e+03	8.580440e+03
2.632950e+01	2.931963e+01	2.451840e+05	1.055104e+04	1.055104e+04
2.931963e+01	3.264933e+01	3.135520e+05	1.130698e+04	1.130698e+04
3.264933e+01	3.635717e+01	3.881265e+05	1.192121e+04	1.192121e+04
3.635717e+01	4.048610e+01	5.343234e+05	1.325493e+04	1.325493e+04
4.048610e+01	4.508393e+01	7.151704e+05	1.453190e+04	1.453190e+04
4.508393e+01	5.020392e+01	6.043152e+05	1.265877e+04	1.265877e+04
5.020392e+01	5.590536e+01	3.879046e+05	9.610906e+03	9.610906e+03
5.590536e+01	6.225429e+01	2.200409e+05	6.859547e+03	6.859547e+03
6.225429e+01	6.932425e+01	1.338456e+05	5.069765e+03	5.069765e+03
6.932425e+01	7.719710e+01	7.725639e+04	3.650021e+03	3.650021e+03
7.719710e+01	8.596404e+01	5.017477e+04	2.787487e+03	2.787487e+03
8.596404e+01	9.572661e+01	2.586647e+04	1.896622e+03	1.896622e+03
9.572661e+01	1.065979e+02	1.498610e+04	1.368037e+03	1.368037e+03
1.065979e+02	1.187037e+02	8.859761e+03	9.968008e+02	9.968008e+02
1.187037e+02	1.321844e+02	5.438382e+03	7.400700e+02	7.400700e+02
1.321844e+02	1.471960e+02	2.803645e+03	5.035496e+02	5.035496e+02
1.471960e+02	1.639124e+02	2.111635e+03	4.141258e+02	4.141258e+02
1.639124e+02	1.825273e+02	5.105352e+02	1.929642e+02	1.929642e+02
1.825273e+02	2.032561e+02	4.584714e+02	1.732859e+02	1.732859e+02
2.032561e+02	2.263390e+02	1.176327e+02	8.317886e+01	8.317886e+01
2.263390e+02	2.520434e+02	5.281788e+01	5.281787e+01	5.281787e+01
2.520434e+02	2.806668e+02	4.743154e+01	4.743153e+01	4.743153e+01
2.806668e+02	3.125410e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.125410e+02	3.480349e+02	3.825029e+01	3.825028e+01	3.825028e+01
3.480349e+02	3.875597e+02	3.434937e+01	3.434936e+01	3.434936e+01
3.875597e+02	4.315732e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.315732e+02	4.805851e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.805851e+02	5.351631e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.351631e+02	5.959393e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.959393e+02	6.636175e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.636175e+02	7.389817e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.389817e+02	8.229047e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.229047e+02	9.163584e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.163584e+02	1.020425e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.020425e+03	1.136311e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.136311e+03	1.265356e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.265356e+03	1.409058e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.409058e+03	1.569078e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.569078e+03	1.747272e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.747272e+03	1.945702e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.945702e+03	2.166667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

