# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_3
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_3
Title=Transverse momentum of third jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_3
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_3
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	3.298041e+05	1.203473e+04	1.203473e+04
2.162608e+01	2.523326e+01	5.378395e+05	1.422777e+04	1.422777e+04
2.523326e+01	2.944211e+01	3.932136e+05	1.126229e+04	1.126229e+04
2.944211e+01	3.435298e+01	2.504713e+05	8.321356e+03	8.321356e+03
3.435298e+01	4.008298e+01	1.516400e+05	5.994098e+03	5.994098e+03
4.008298e+01	4.676873e+01	7.249474e+04	3.836828e+03	3.836828e+03
4.676873e+01	5.456964e+01	3.428541e+04	2.442734e+03	2.442734e+03
5.456964e+01	6.367173e+01	1.417003e+04	1.453815e+03	1.453815e+03
6.367173e+01	7.429203e+01	6.903119e+03	9.393955e+02	9.393955e+02
7.429203e+01	8.668377e+01	2.410343e+03	5.138868e+02	5.138868e+02
8.668377e+01	1.011424e+02	1.314587e+03	3.513381e+02	3.513381e+02
1.011424e+02	1.180127e+02	6.438066e+02	2.276201e+02	2.276201e+02
1.180127e+02	1.376970e+02	1.379426e+02	9.754014e+01	9.754014e+01
1.376970e+02	1.606645e+02	1.182237e+02	8.359679e+01	8.359679e+01
1.606645e+02	1.874630e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.874630e+02	2.187314e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.187314e+02	2.552153e+02	3.721236e+01	3.721235e+01	3.721235e+01
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

