# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_4
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
XMin=20.0
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_4
Title=Transverse momentum of fourth jet
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_4
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_pT_4
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	1.546132e+05	7.379285e+03	7.379285e+03
2.178868e+01	2.647212e+01	2.037880e+05	7.686011e+03	7.686011e+03
2.647212e+01	3.216225e+01	8.637235e+04	4.539630e+03	4.539630e+03
3.216225e+01	3.907546e+01	3.142163e+04	2.484097e+03	2.484097e+03
3.907546e+01	4.747466e+01	1.002172e+04	1.272759e+03	1.272759e+03
4.747466e+01	5.767925e+01	4.257383e+03	7.526062e+02	7.526062e+02
5.767925e+01	7.007730e+01	1.642579e+03	4.241120e+02	4.241120e+02
7.007730e+01	8.514028e+01	9.013170e+01	9.013168e+01	9.013168e+01
8.514028e+01	1.034410e+02	1.483714e+02	1.049144e+02	1.049144e+02
1.034410e+02	1.256755e+02	6.106060e+01	6.106059e+01	6.106059e+01
1.256755e+02	1.526892e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.526892e+02	1.855094e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.855094e+02	2.253843e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.253843e+02	2.738303e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.738303e+02	3.326896e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.326896e+02	4.042006e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.042006e+02	4.910828e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.910828e+02	5.966401e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.966401e+02	7.248867e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.248867e+02	8.806998e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.806998e+02	1.070005e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.070005e+03	1.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

