# BEGIN PLOT
LegendXPos=0.3
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_1
Title=Rapidity of first jet
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_1
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/mg5py8_1.yoda/MC_JETS/jet_y_1
ScaledBy=1.00004000192488305e-05
Title=mg5py8_1
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.751781e+04	1.796005e+04	1.796005e+04
-4.800000e+00	-4.600000e+00	1.154004e+05	2.798871e+04	2.798871e+04
-4.600000e+00	-4.400000e+00	1.697065e+05	3.394129e+04	3.394129e+04
-4.400000e+00	-4.200000e+00	2.579538e+05	4.184564e+04	4.184564e+04
-4.200000e+00	-4.000000e+00	3.869307e+05	5.125022e+04	5.125022e+04
-4.000000e+00	-3.800000e+00	5.770020e+05	6.258464e+04	6.258464e+04
-3.800000e+00	-3.600000e+00	5.973670e+05	6.367951e+04	6.367951e+04
-3.600000e+00	-3.400000e+00	8.688970e+05	7.680037e+04	7.680037e+04
-3.400000e+00	-3.200000e+00	1.058969e+06	8.478532e+04	8.478532e+04
-3.200000e+00	-3.000000e+00	1.398381e+06	9.742983e+04	9.742983e+04
-3.000000e+00	-2.800000e+00	1.452687e+06	9.930366e+04	9.930366e+04
-2.800000e+00	-2.600000e+00	1.520570e+06	1.015974e+05	1.015974e+05
-2.600000e+00	-2.400000e+00	1.669911e+06	1.064697e+05	1.064697e+05
-2.400000e+00	-2.200000e+00	2.090784e+06	1.191335e+05	1.191335e+05
-2.200000e+00	-2.000000e+00	2.077207e+06	1.187460e+05	1.187460e+05
-2.000000e+00	-1.800000e+00	2.735668e+06	1.362733e+05	1.362733e+05
-1.800000e+00	-1.600000e+00	2.762821e+06	1.369480e+05	1.369480e+05
-1.600000e+00	-1.400000e+00	3.190481e+06	1.471659e+05	1.471659e+05
-1.400000e+00	-1.200000e+00	3.000411e+06	1.427150e+05	1.427150e+05
-1.200000e+00	-1.000000e+00	3.299094e+06	1.496499e+05	1.496499e+05
-1.000000e+00	-8.000000e-01	3.400918e+06	1.519418e+05	1.519418e+05
-8.000000e-01	-6.000000e-01	3.373764e+06	1.513340e+05	1.513340e+05
-6.000000e-01	-4.000000e-01	3.679236e+06	1.580367e+05	1.580367e+05
-4.000000e-01	-2.000000e-01	3.747118e+06	1.594879e+05	1.594879e+05
-2.000000e-01	0.000000e+00	3.713178e+06	1.587640e+05	1.587640e+05
0.000000e+00	2.000000e-01	3.821790e+06	1.610692e+05	1.610692e+05
2.000000e-01	4.000000e-01	3.509530e+06	1.543489e+05	1.543489e+05
4.000000e-01	6.000000e-01	3.638507e+06	1.571595e+05	1.571595e+05
6.000000e-01	8.000000e-01	3.523106e+06	1.546472e+05	1.546472e+05
8.000000e-01	1.000000e+00	3.380553e+06	1.514862e+05	1.514862e+05
1.000000e+00	1.200000e+00	3.224423e+06	1.479467e+05	1.479467e+05
1.200000e+00	1.400000e+00	3.041140e+06	1.436803e+05	1.436803e+05
1.400000e+00	1.600000e+00	2.857857e+06	1.392834e+05	1.392834e+05
1.600000e+00	1.800000e+00	2.728880e+06	1.361042e+05	1.361042e+05
1.800000e+00	2.000000e+00	2.694939e+06	1.352551e+05	1.352551e+05
2.000000e+00	2.200000e+00	2.335161e+06	1.259034e+05	1.259034e+05
2.200000e+00	2.400000e+00	2.253702e+06	1.236880e+05	1.236880e+05
2.400000e+00	2.600000e+00	1.839618e+06	1.117488e+05	1.117488e+05
2.600000e+00	2.800000e+00	1.771736e+06	1.096677e+05	1.096677e+05
2.800000e+00	3.000000e+00	1.493417e+06	1.006861e+05	1.006861e+05
3.000000e+00	3.200000e+00	1.167580e+06	8.902717e+04	8.902717e+04
3.200000e+00	3.400000e+00	9.435680e+05	8.003238e+04	8.003238e+04
3.400000e+00	3.600000e+00	8.078030e+05	7.405116e+04	7.405116e+04
3.600000e+00	3.800000e+00	7.806495e+05	7.279596e+04	7.279596e+04
3.800000e+00	4.000000e+00	4.616016e+05	5.597741e+04	5.597741e+04
4.000000e+00	4.200000e+00	3.122599e+05	4.604021e+04	4.604021e+04
4.200000e+00	4.400000e+00	2.579538e+05	4.184564e+04	4.184564e+04
4.400000e+00	4.600000e+00	1.425535e+05	3.110771e+04	3.110771e+04
4.600000e+00	4.800000e+00	7.467085e+04	2.251411e+04	2.251411e+04
4.800000e+00	5.000000e+00	2.036477e+04	1.175761e+04	1.175761e+04
# END HISTO1D

